,epochs,test_losses,train_losses
0,0,0.00019627799338195473,0.0005764728994108737
1,1,1.9994562535430305e-05,0.00019627799338195473
2,2,1.461795636714669e-05,1.9994562535430305e-05
3,3,9.551161201670766e-05,1.461795636714669e-05
4,4,0.00016257178504019976,9.551161929266527e-05
5,5,0.00017078942619264126,0.00016257178504019976
6,6,0.00013088990817777812,0.0001707894407445565
7,7,7.291217480087653e-05,0.00013088990817777812
8,8,2.4271370421047322e-05,7.291218207683414e-05
9,9,1.2190974985060166e-06,2.427136860205792e-05
10,10,6.049861440260429e-06,1.2190974985060166e-06
11,11,2.8594138711923733e-05,6.049861440260429e-06
12,12,5.2665545808849856e-05,2.8594138711923733e-05
13,13,6.492780084954575e-05,5.266554944682866e-05
14,14,6.0666432545986027e-05,6.492780084954575e-05
15,15,4.375521166366525e-05,6.0666432545986027e-05
16,16,2.278303145430982e-05,4.375521530164406e-05
17,17,6.453145942941774e-06,2.278303145430982e-05
18,18,4.336467895882379e-08,6.453145942941774e-06
19,19,3.755562374863075e-06,4.336467895882379e-08
