,epochs,test_losses,train_losses
0,0,0.00019627803703770041,0.000576481397729367
1,1,1.9995008187834173e-05,0.00019627803703770041
2,2,1.4617502529290505e-05,1.9995008187834173e-05
3,3,9.551086986903101e-05,1.4617502529290505e-05
4,4,0.00016257187235169113,9.551086986903101e-05
5,5,0.0001707935007289052,0.00016257187235169113
6,6,0.00013089178537484258,0.0001707935007289052
7,7,7.291360088856891e-05,0.00013089178537484258
8,8,2.4272623704746366e-05,7.291360088856891e-05
9,9,1.2193650036351755e-06,2.4272623704746366e-05
10,10,6.049339390301611e-06,1.2193650036351755e-06
11,11,2.85939167952165e-05,6.049339390301611e-06
12,12,5.266522930469364e-05,2.85939167952165e-05
13,13,6.492684769909829e-05,5.266522930469364e-05
14,14,6.06680077908095e-05,6.492684769909829e-05
15,15,4.375654680188745e-05,6.06680077908095e-05
16,16,2.2783870008424856e-05,4.375654680188745e-05
17,17,6.4535311139479745e-06,2.2783870008424856e-05
18,18,4.339358383731451e-08,6.4535311139479745e-06
19,19,3.755398211069405e-06,4.339358383731451e-08
