,epochs,test_losses,train_losses
0,0,5.884468191652559e-05,0.0003122671623714268
1,1,2.071668177450192e-06,5.884468191652559e-05
2,2,6.376967940013856e-05,2.071668177450192e-06
3,3,0.00011486352741485462,6.376967940013856e-05
4,4,0.00010566384298726916,0.00011486352741485462
5,5,6.141780613688752e-05,0.00010566384298726916
6,6,1.8617560272105038e-05,6.141780613688752e-05
7,7,2.1152665397039527e-07,1.8617560272105038e-05
8,8,9.270371265301947e-06,2.1152665397039527e-07
9,9,3.148890391457826e-05,9.270371265301947e-06
10,10,4.7489957069046795e-05,3.148890391457826e-05
11,11,4.691235153586604e-05,4.7489957069046795e-05
12,12,3.238028511987068e-05,4.691235153586604e-05
13,13,1.4016223758517299e-05,3.238028511987068e-05
14,14,1.9396452444198076e-06,1.4016223758517299e-05
15,15,9.242234568773711e-07,1.9396452444198076e-06
16,16,8.638874533062335e-06,9.242234568773711e-07
17,17,1.801933831302449e-05,8.638874533062335e-06
18,18,2.231784674222581e-05,1.801933831302449e-05
19,19,1.9195913409930654e-05,2.231784674222581e-05
