,epochs,test_losses,train_losses
0,0,0.015846367925405502,0.024509191513061523
1,1,0.011082363314926624,0.01680479384958744
2,2,0.007156232371926308,0.011771699413657188
3,3,0.004162436351180077,0.007606103550642729
4,4,0.0024710495490580797,0.004436994902789593
5,5,0.0022582511883229017,0.0026486327406018972
6,6,0.0027110022492706776,0.0024116886779665947
7,7,0.002627698704600334,0.0028755832463502884
8,8,0.00200794474221766,0.0027981370221823454
9,9,0.0012137229787185788,0.0021735939662903547
10,10,0.0006741882534697652,0.0013723967131227255
11,11,0.0005777479382231832,0.0008311240817420185
12,12,0.0008442099788226187,0.0007417034357786179
13,13,0.0012283609248697758,0.0010217539966106415
14,14,0.0015116314170882106,0.001421400811523199
15,15,0.001585603691637516,0.0017164183082059026
16,16,0.0014446801505982876,0.00179582042619586
17,17,0.0011567659676074982,0.0016537568299099803
18,18,0.000824853137601167,0.0013591295573860407
19,19,0.0005500445258803666,0.0010168164735659957
