,epochs,num_train_samples,num_test_samples,base_train_losses,base_test_losses,train_losses,test_losses,centered_train_losses,centered_test_losses
0,1,1650,1650,0.023362538,0.02030345,0.23760884,0.2608991,0.21424629,0.24059565
1,2,1650,1650,0.022605425,0.017767375,0.22955748,0.23052768,0.20695205,0.2127603
2,3,1650,1650,0.02366091,0.017881203,0.22874041,0.23798458,0.2050795,0.22010338
3,4,1650,1650,0.023235802,0.018368462,0.2282344,0.23565774,0.2049986,0.21728928
4,5,1650,1650,0.023279482,0.017129034,0.2268946,0.23219892,0.20361511,0.21506989
5,6,1650,1650,0.024359975,0.01860576,0.23972122,0.24222527,0.21536125,0.2236195
6,7,1650,1650,0.023713838,0.01795569,0.22644864,0.23777726,0.20273481,0.21982157
7,8,1650,1650,0.024571085,0.017446421,0.22894377,0.2250789,0.20437269,0.20763248
8,9,1650,1650,0.024125978,0.018015306,0.23262142,0.22843483,0.20849544,0.21041952
9,10,1650,1650,0.021791356,0.018360931,0.22201017,0.23183423,0.20021881,0.2134733
10,11,1650,1650,0.02262056,0.019436685,0.22445342,0.24147569,0.20183285,0.222039
11,12,1650,1650,0.02395728,0.017907927,0.22280031,0.22320734,0.19884303,0.20529942
12,13,1650,1650,0.023228845,0.017807554,0.22183955,0.23188262,0.19861071,0.21407506
13,14,1650,1650,0.024256583,0.017364684,0.23163834,0.21663329,0.20738177,0.19926861
14,15,1650,1650,0.023232581,0.017062534,0.21702096,0.22454089,0.19378838,0.20747836
15,16,1650,1650,0.024372304,0.017389176,0.22453725,0.22232898,0.20016496,0.2049398
16,17,1650,1650,0.024321424,0.01766054,0.22496997,0.22006117,0.20064855,0.20240064
17,18,1650,1650,0.024677958,0.017722005,0.22253646,0.21720473,0.19785851,0.19948272
18,19,1650,1650,0.024420815,0.016792562,0.21953447,0.21542503,0.19511366,0.19863246
19,20,1650,1650,0.024243327,0.017991437,0.21919686,0.21428409,0.19495353,0.19629265
20,21,1650,1650,0.02450972,0.017993402,0.22127683,0.21772192,0.19676712,0.19972852
21,22,1650,1650,0.022789685,0.017586142,0.21266766,0.22241187,0.18987797,0.20482573
22,23,1650,1650,0.0220416,0.01789903,0.21376817,0.22085729,0.19172658,0.20295826
23,24,1650,1650,0.024036512,0.018252939,0.21831454,0.21736106,0.19427803,0.19910812
24,25,1650,1650,0.02257321,0.017542891,0.21105711,0.21736391,0.1884839,0.19982103
25,26,1650,1650,0.022677826,0.017297795,0.21245958,0.20981361,0.18978176,0.1925158
26,27,1650,1650,0.022029372,0.017963715,0.20847365,0.22223812,0.18644428,0.20427442
27,28,1650,1650,0.024095893,0.01829834,0.2187748,0.22306922,0.1946789,0.2047709
28,29,1650,1650,0.023468707,0.017966926,0.21137731,0.22066249,0.1879086,0.20269556
29,30,1650,1650,0.02370074,0.018591926,0.21244068,0.21895605,0.18873994,0.20036413
30,31,1650,1650,0.023885448,0.017049477,0.21510786,0.2099066,0.19122241,0.19285712
31,32,1650,1650,0.023679443,0.018177167,0.21111466,0.21721813,0.18743521,0.19904096
32,33,1650,1650,0.021371197,0.018334039,0.20917507,0.22536017,0.18780386,0.20702614
33,34,1650,1650,0.023090309,0.017967429,0.20901108,0.22401376,0.18592076,0.20604633
34,35,1650,1650,0.023963613,0.017781286,0.20997874,0.21677482,0.18601513,0.19899353
35,36,1650,1650,0.023499196,0.01831995,0.2115226,0.2206248,0.1880234,0.20230485
36,37,1650,1650,0.021781998,0.017404858,0.20077986,0.21877038,0.17899784,0.20136553
37,38,1650,1650,0.024628058,0.017714577,0.20966427,0.20855217,0.18503621,0.19083759
38,39,1650,1650,0.022327134,0.018806823,0.2030363,0.218065,0.18070917,0.19925816
