,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAR,PVNL,PVNR,RIBL,RIBR,RID,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.17100887,0.012594063,-0.13784154,-0.25494674,0.016851012,-0.16586871,-0.068973385,-0.19668512,-0.046279248,0.0014905035,-0.3428806,-0.3111735,-0.053003997,-0.0985365,-0.32754287,-0.13126461,-0.22159575,-0.16850208,-0.07525961,-0.23659462,-0.24782203,-0.33482665,-0.17929341,-0.2855001,0.052885678,-0.19120966,0.052932322,-0.23024288,-0.26220483,-0.07317818,-0.14547971,-0.06665592,-0.21165915,-0.31804675,-0.23072118,-0.15212846,-0.3966677,-0.017055344,-0.10282794,-0.15898813,-0.2760448,-0.263437,-0.24398673,-0.20194684,-0.17051078,-0.39102066,-0.34175012,-0.10746875,-0.18652701,-0.15999438,-0.13199043,-0.19035591,-0.040040463,-0.17128211,-0.15179445,-0.1807958,-0.061790228,-0.21198574,train,0.0,1
1,-0.25875285,0.05241673,-0.19190188,-0.30484033,0.021167438,-0.22086547,-0.073866,-0.23253536,-0.09753895,0.05406356,-0.45662254,-0.37678188,-0.06997764,-0.13295019,-0.42486292,-0.1766868,-0.3133466,-0.23118606,-0.117037684,-0.37000158,-0.3559087,-0.4231155,-0.25660616,-0.3848129,0.042821456,-0.23101714,0.0648316,-0.27216357,-0.33552325,-0.08394701,-0.22523692,-0.10732509,-0.3017245,-0.4282841,-0.29928055,-0.20070043,-0.50480086,-0.039057475,-0.13349526,-0.17055637,-0.35566273,-0.2978102,-0.3029093,-0.32486734,-0.27730134,-0.52217937,-0.45146728,-0.098093376,-0.24103013,-0.22276974,-0.17056672,-0.23143722,-0.003490299,-0.22418283,-0.22895712,-0.24418841,-0.07692735,-0.24952666,train,0.32608697,1
2,-0.3059508,0.06948742,-0.21955758,-0.31656685,0.023443962,-0.25128147,-0.07698478,-0.26035374,-0.124304414,0.070629045,-0.5163382,-0.41732588,-0.07912548,-0.14722115,-0.46033773,-0.18670157,-0.3615242,-0.26713905,-0.14262055,-0.44096756,-0.4207517,-0.46977502,-0.30924428,-0.4405245,0.028164526,-0.25715157,0.064945735,-0.27611834,-0.38057438,-0.095225334,-0.28323197,-0.12808539,-0.33986983,-0.49480563,-0.34790933,-0.21698469,-0.57104856,-0.048687104,-0.1398066,-0.1806063,-0.37931058,-0.31829476,-0.3456128,-0.390898,-0.33449075,-0.5903169,-0.50964046,-0.09496456,-0.2533986,-0.26392817,-0.1900585,-0.26158684,0.015213363,-0.24891093,-0.2748833,-0.27079147,-0.08685598,-0.27323985,train,0.65217394,1
3,-0.33227885,0.08002959,-0.22774883,-0.3278611,0.03968701,-0.25867757,-0.0751017,-0.2729612,-0.13241012,0.07445799,-0.55266964,-0.4380688,-0.081273235,-0.15209688,-0.46967772,-0.18965441,-0.38333225,-0.28791896,-0.16347045,-0.47949907,-0.4602527,-0.49383402,-0.3298856,-0.46806958,0.019792952,-0.26283267,0.0658002,-0.27666557,-0.39705604,-0.10625491,-0.32239032,-0.14387168,-0.3708948,-0.527773,-0.37282813,-0.21411796,-0.60597014,-0.0458426,-0.14066863,-0.18088761,-0.39132622,-0.32466504,-0.3692942,-0.41827643,-0.36068785,-0.6423155,-0.5444915,-0.093727514,-0.26091608,-0.27758843,-0.2049348,-0.2851063,0.021525644,-0.25863278,-0.30022553,-0.28088507,-0.0905498,-0.2788101,train,0.9782609,1
4,-0.35227957,0.087501615,-0.23064911,-0.3253613,0.045261692,-0.2596499,-0.067546085,-0.27751133,-0.14082663,0.06935693,-0.5713643,-0.45975643,-0.07935913,-0.15095241,-0.4630328,-0.1737521,-0.38942775,-0.3020122,-0.17737845,-0.48771605,-0.49235392,-0.504543,-0.34270018,-0.48805144,0.01323537,-0.25988296,0.059299227,-0.27422595,-0.40946114,-0.11614312,-0.3469083,-0.15078272,-0.3784234,-0.5411874,-0.38169467,-0.20850691,-0.6288671,-0.04588956,-0.14105836,-0.18566012,-0.38958663,-0.32663846,-0.38271868,-0.43469957,-0.37984574,-0.6705184,-0.564102,-0.08915326,-0.2515646,-0.286079,-0.21495028,-0.306739,0.0358231,-0.25496083,-0.31890482,-0.28129792,-0.102977455,-0.27718538,train,1.3043479,1
5,-0.3573106,0.097306564,-0.22627197,-0.32949194,0.043679327,-0.2508173,-0.055764206,-0.2724837,-0.13916248,0.07104899,-0.5737111,-0.4681396,-0.07147868,-0.14352603,-0.46470946,-0.17504591,-0.39912546,-0.30390579,-0.17913067,-0.4849358,-0.5098798,-0.5089546,-0.34827855,-0.4908518,0.017495582,-0.26115388,0.06757162,-0.28101385,-0.4181401,-0.11491378,-0.35432175,-0.16393203,-0.386646,-0.544645,-0.3934806,-0.21353076,-0.63217527,-0.040606212,-0.14809273,-0.18906403,-0.39895648,-0.32080746,-0.38658947,-0.44216093,-0.38375935,-0.68771315,-0.5728408,-0.086759955,-0.24398527,-0.28848374,-0.21549463,-0.31488636,0.04416872,-0.25806284,-0.32675835,-0.29624623,-0.103251025,-0.2759509,train,1.6304348,1
6,-0.36179832,0.10848668,-0.22439852,-0.33732653,0.04500694,-0.24868636,-0.05526256,-0.26779154,-0.13344401,0.07141775,-0.5896991,-0.47220564,-0.07059949,-0.14377552,-0.47183746,-0.17060706,-0.40310588,-0.30608928,-0.18804911,-0.49656203,-0.51958776,-0.51046956,-0.3508203,-0.49683955,0.015595693,-0.25930145,0.06785778,-0.2811437,-0.42190403,-0.11473293,-0.36486414,-0.16373761,-0.4004603,-0.553399,-0.39264986,-0.2121135,-0.6346766,-0.0327376,-0.15870196,-0.18317254,-0.40558594,-0.32500726,-0.39452404,-0.4494972,-0.38866904,-0.69737136,-0.5719633,-0.08308971,-0.25506634,-0.2967999,-0.22242711,-0.3182252,0.044091873,-0.25415266,-0.33137518,-0.29730514,-0.09914074,-0.27166757,train,1.9565217,1
7,-0.3656514,0.11675155,-0.21512377,-0.3310063,0.034694146,-0.2553769,-0.05124069,-0.26512098,-0.1344503,0.06593609,-0.59413636,-0.48032337,-0.06241414,-0.14550978,-0.47555926,-0.1591903,-0.4035873,-0.30615264,-0.1881282,-0.49467242,-0.5299295,-0.51485664,-0.35774952,-0.49691418,0.010332024,-0.25432387,0.061838754,-0.28248116,-0.43518096,-0.11734238,-0.3740853,-0.16036014,-0.39731094,-0.5521393,-0.4016864,-0.21527964,-0.64231426,-0.030214485,-0.15242837,-0.18739168,-0.3993691,-0.33301622,-0.39685264,-0.45492253,-0.39288425,-0.69514763,-0.57383317,-0.080682814,-0.24761948,-0.30351186,-0.22190903,-0.32909685,0.04274776,-0.24898341,-0.34457782,-0.3063241,-0.104177356,-0.27133867,train,2.2826087,1
8,-0.3686084,0.11707047,-0.21771704,-0.3275684,0.03329905,-0.247657,-0.044911124,-0.26331753,-0.13283022,0.07401711,-0.5956718,-0.48205233,-0.06130987,-0.13603766,-0.46918616,-0.16576886,-0.39899188,-0.30567133,-0.18714173,-0.49286056,-0.5343022,-0.5050021,-0.3684585,-0.50158864,0.016100606,-0.25557166,0.0617516,-0.28070432,-0.43545532,-0.11694082,-0.3825303,-0.15716341,-0.39703384,-0.55176914,-0.4075341,-0.21943703,-0.64259344,-0.022760887,-0.15762046,-0.18971904,-0.40824845,-0.330847,-0.39658517,-0.46881056,-0.3964099,-0.6972226,-0.5737809,-0.077218756,-0.251184,-0.29974285,-0.21753992,-0.32679307,0.057638995,-0.2478761,-0.34987095,-0.3039884,-0.10655384,-0.26886195,train,2.6086957,1
9,-0.3669798,0.1200681,-0.21870552,-0.32951158,0.031893138,-0.249282,-0.038214203,-0.27013254,-0.13724874,0.079656854,-0.5918971,-0.487091,-0.052794944,-0.13294435,-0.46454296,-0.16878492,-0.40144262,-0.29930162,-0.18532376,-0.48944336,-0.53935033,-0.50754577,-0.36179295,-0.49853116,0.019139163,-0.25270575,0.068079874,-0.27708867,-0.4369279,-0.11722761,-0.388304,-0.16338895,-0.39684844,-0.53577054,-0.4202712,-0.22310351,-0.65109915,-0.016387817,-0.15087786,-0.18916163,-0.41501066,-0.33414316,-0.39987665,-0.47210637,-0.39846498,-0.6967263,-0.57996315,-0.07860945,-0.24703136,-0.30321574,-0.21866064,-0.32828584,0.060352422,-0.23980024,-0.3493556,-0.31271797,-0.115148395,-0.25659585,train,2.9347825,1
