,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAR,PVNL,PVNR,RIBL,RIBR,RID,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.2577058,0.46449488,0.61176354,-0.15766066,-0.5636314,-0.49844408,-0.8705918,-0.2524908,0.33454302,0.9394216,-0.9440212,-0.925801,0.72785634,-0.49284896,-0.7407113,-0.90549994,-0.3926214,-0.5564381,-0.99976027,-0.99497694,-0.6088519,-0.8470694,-0.9760018,-0.8766788,-0.7642058,-0.54576606,-0.97129893,-0.86783886,0.16730136,-0.8021062,-0.72094077,0.8129538,-0.123698555,-0.75773114,-0.71047586,-1.0,-0.9699881,0.22162409,-0.9626751,-0.043118488,-0.64921236,-0.8264176,-0.5066016,-0.9306369,-0.2582746,-0.64618516,-0.9368857,-0.73843145,-0.35629657,-0.9716454,-0.827473,-0.78962266,-0.8173174,-0.55883336,-0.8199141,-0.94472885,-0.8399134,-0.7172044,train,0.0,1
1,-0.19756295,0.4947468,0.6128143,-0.07652595,-0.59553474,-0.5139469,-0.87602913,-0.29759434,0.30082142,0.91215247,-0.9985246,-0.9349167,0.73921895,-0.45026004,-0.6780419,-1.0,-0.37504482,-0.495995,-0.9990221,-1.0,-0.62159765,-0.89892685,-0.9723073,-0.8522056,-0.71339047,-0.48133624,-0.8931542,-0.8404786,0.1020588,-0.75621176,-0.814749,0.8374259,-0.23283976,-0.82910734,-0.7293212,-0.7799416,-0.96378124,0.13792638,-0.929013,-0.08592739,-0.66971296,-0.80804867,-0.5740012,-0.9035001,-0.31640217,-0.70937055,-0.9270281,-0.6428828,-0.38795736,-0.8269821,-0.91535765,-0.7619078,-0.8780985,-0.5684766,-0.85770875,-0.9332424,-0.8073246,-0.7185601,train,0.32608697,1
2,-0.13789815,0.5244111,0.6599001,-0.34157208,-0.44876468,-0.52697766,-0.86519426,-0.21623735,0.32227322,0.9523471,-0.9862519,-0.9088106,0.7286025,-0.43481144,-0.29499608,-0.8110558,-0.362738,-0.53120905,-0.99775714,-0.99840325,-0.63283217,-0.86808753,-0.9690627,-0.8444383,-0.78636545,-0.56212366,-0.8804356,-0.8431871,0.12521283,-0.7495322,-0.8310623,0.87453246,-0.3245101,-0.78027177,-0.71127987,-0.8567319,-0.9811402,0.19344038,-0.9566791,-0.038629744,-0.68820965,-0.82376313,-0.6148546,-0.89090556,-0.30501992,-0.67341715,-0.9594389,-0.6996225,-0.22111243,-0.86701024,-0.8961292,-0.6964466,-0.840614,-0.5807274,-0.80683994,-0.93968546,-0.7941248,-0.6700439,train,0.65217394,1
3,-0.15561941,0.5202221,0.6563806,-0.39415157,-0.5636393,-0.5162382,-0.9873898,-0.1563646,0.3098256,0.93884563,-0.97622854,-0.94128096,0.79468703,-0.4138986,-0.08982269,-0.70329547,-0.34255055,-0.51605374,-0.99593675,-0.9982037,-0.5705267,-0.87448055,-0.9735851,-0.8681358,-0.76802915,-0.52026874,-0.86062473,-0.8083341,0.18533188,-0.8231686,-0.8491503,0.9226431,-0.1809255,-0.7977991,-0.69350797,-0.78525436,-0.9061415,0.1573076,-0.927357,0.012842395,-0.6656843,-0.71306515,-0.62489253,-0.971369,-0.34844616,-0.69063246,-0.9206869,-0.6692558,-0.37041825,-1.0,-0.80227333,-0.65844023,-0.85995513,-0.5904762,-0.8361126,-0.92195493,-0.68781424,-0.7077467,train,0.9782609,1
4,-0.21979544,0.5826623,0.64301586,-0.67625964,-0.62294775,-0.4603866,-0.8508431,-0.09833452,0.3448212,0.94705385,-0.95101124,-0.9334345,0.82036537,-0.37813222,-0.2389897,-0.6195938,-0.30437502,-0.54922295,-0.9935325,-0.9712146,-0.46941745,-0.9036784,-0.96162736,-0.85183483,-0.7625014,-0.43445972,-0.8892078,-0.8481332,0.19097441,-0.74758667,-0.78008103,0.919806,-0.19126576,-0.76403564,-0.6709829,-0.8523378,-0.8874779,0.32646737,-0.88635975,0.083470486,-0.74013096,-0.7819015,-0.62542653,-0.93222237,-0.27585682,-0.67197925,-0.8710734,-0.631674,-0.32976595,-0.9583878,-0.7615175,-0.6832488,-0.7966457,-0.5640156,-0.8225832,-0.94982815,-0.7483284,-0.63184017,train,1.3043479,1
5,-0.11548914,0.6246251,0.6691746,-0.45377436,-0.61055964,-0.5045583,-0.8188926,-0.055743344,0.35355633,0.96975976,-0.9203481,-0.9373045,0.7693898,-0.39259845,-0.25139737,-0.7305992,-0.32424623,-0.5384561,-0.99051595,-0.96924084,-0.55226874,-0.8588365,-0.9846403,-0.8543408,-0.75795525,-0.4810681,-0.9062323,-0.8399473,0.11044255,-0.7238397,-0.6594142,0.94474363,-0.3121548,-0.7512782,-0.66226417,-0.81426847,-0.9000936,0.13332596,-0.809428,0.18198381,-0.7733635,-0.7994354,-0.6285978,-0.9047709,-0.37252316,-0.71651554,-0.92408776,-0.63631386,-0.15148364,-0.9334278,-0.8354611,-0.5887144,-0.8526164,-0.5350546,-0.822416,-0.93703604,-0.84906715,-0.6323742,train,1.6304348,1
6,-0.06586069,0.68683654,0.7228621,-0.3365307,-0.5005036,-0.49228042,-0.8830938,-0.009260686,0.36048946,0.9721611,-0.9244648,-0.9260392,0.7888437,-0.32445857,-0.44453663,-0.6863985,-0.3237503,-0.50476444,-0.98685867,-0.9656482,-0.5311273,-0.862442,-0.95835584,-0.8237821,-0.7053677,-0.41119438,-0.8721347,-0.8180255,0.17334267,-0.76024973,-0.7676173,0.94805175,-0.13242358,-0.70059973,-0.7255143,-0.64747864,-0.943259,0.23450798,-0.78467333,0.004646469,-0.72392607,-0.6862108,-0.67576945,-0.9268432,-0.3130286,-0.7056008,-0.84509414,-0.5587845,-0.25463605,-0.9630955,-0.7636308,-0.56350666,-0.85955906,-0.53300893,-0.80129117,-0.9497499,-0.8193332,-0.63167715,train,1.9565217,1
7,-0.067993276,0.6396032,0.7651533,-0.51752335,-0.63003623,-0.43233782,-0.90373045,-0.10322008,0.39652643,0.9737821,-1.0,-0.9173088,0.79683965,-0.25272033,-0.4965956,-0.79343146,-0.31040627,-0.49120766,-0.98253214,-0.96093565,-0.59397733,-0.8848071,-0.96788895,-0.8430009,-0.75038433,-0.5384777,-0.8989999,-0.86107206,0.074782304,-0.7520953,-0.6287434,0.9377478,-0.2373479,-0.7395866,-0.7182338,-0.6776897,-0.87785125,0.27791408,-0.75350016,0.19425735,-0.7566745,-0.736028,-0.61973757,-0.9634468,-0.35604605,-0.65536344,-0.8285377,-0.5610449,-0.3544296,-0.846498,-0.7564764,-0.49784684,-0.8225469,-0.5262433,-0.84696245,-0.92784137,-0.7599632,-0.60995287,train,2.2826087,1
8,-0.050894886,0.6572515,0.7301197,-0.7402776,-0.59489036,-0.45878837,-0.78422135,-0.21005322,0.34737596,0.98846364,-0.9383088,-0.9174189,0.8244774,-0.29092786,-0.5808096,-0.76165164,-0.32204542,-0.49385366,-0.9775078,-0.96123505,-0.5934866,-0.8473694,-0.9681488,-0.8294253,-0.73320866,-0.6230419,-0.8378392,-0.8037915,0.145867,-0.77506596,-0.76882523,0.9475466,-0.12102414,-0.7129309,-0.69343877,-0.76864105,-0.90692073,0.31202832,-0.745956,0.2586821,-0.77665246,-0.8534806,-0.6584224,-0.96475756,-0.30493784,-0.63730663,-0.7724263,-0.6190281,-0.30957314,-0.8209439,-0.74303174,-0.47507668,-0.860029,-0.5822102,-0.88404447,-0.9390108,-0.727939,-0.5935818,train,2.6086957,1
9,0.012921655,0.73623574,0.71992356,-0.6320713,-0.5435606,-0.4706838,-0.8418915,-0.14404365,0.38519156,0.9906027,-0.9459631,-0.9117636,0.87618864,-0.21156663,-0.66837,-0.9182566,-0.31613228,-0.4961319,-0.9717574,-0.9500136,-0.60651195,-0.89210683,-0.9579807,-0.8360544,-0.7532786,-0.52438843,-0.77530164,-0.84150696,0.14729822,-0.74467605,-0.814191,0.9627826,-0.32294226,-0.6827407,-0.6708906,-0.6616584,-0.9112639,0.31075028,-0.70338076,0.23956259,-0.75999177,-0.8242487,-0.65524864,-0.94740105,-0.29277825,-0.7109587,-0.7463575,-0.6013948,-0.090047635,-0.7313032,-0.67001873,-0.50337213,-0.8455236,-0.58522916,-0.83283913,-0.9432223,-0.6818694,-0.56808984,train,2.9347825,1
