,AIBL,AIBR,ALA,ALNL,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,PLML,PVNL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDVL,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.09125211,-0.089717284,-0.010338816,-0.14587393,-0.031264983,-0.07237349,-0.07515312,0.036713026,-0.044601116,-0.18624306,-0.13894463,-0.06672123,-0.066544704,-0.1763507,-0.04665561,-0.08811788,-0.049304467,0.011488498,-0.14074008,-0.026893165,-0.15436882,-0.1287104,-0.017728817,-0.08092108,-0.17500496,-0.04530546,-0.0043443018,-0.15520515,-0.040097624,-0.046844207,-0.13200432,0.031294044,-0.1031276,-0.10686133,-0.13048798,-0.16141835,-0.23934597,0.059552006,-0.14409429,-0.11903672,-0.11883901,-0.19229546,-0.11579476,-0.008240605,-0.16113064,-0.10448015,-0.17848101,-0.13428605,-0.15783021,-0.12704074,-0.1205758,-0.081640445,-0.022334255,-0.15860415,train,0.0,1
1,-0.124957725,-0.11085492,-0.0063796537,-0.1321333,-0.016946578,-0.10654782,-0.058646277,0.032324057,-0.034285158,-0.19401047,-0.0984472,-0.08678458,-0.087689795,-0.19199719,-0.053036194,-0.10007189,-0.0505679,0.016769998,-0.13094413,-0.023953592,-0.1790543,-0.12585305,-0.03798479,-0.071394205,-0.21208343,-0.0024254993,-0.018650237,-0.15298848,-0.0467433,-0.016025074,-0.1492615,0.030807516,-0.13461342,-0.098897755,-0.111527465,-0.15529698,-0.24069262,0.0703624,-0.18480596,-0.11445144,-0.104971476,-0.20959547,-0.09455902,-0.01853402,-0.17771733,-0.10641749,-0.22110271,-0.15564539,-0.18182366,-0.15653273,-0.13315263,-0.07964478,-0.03706632,-0.17381793,train,0.28807682,1
2,-0.14645642,-0.123675585,-0.009696063,-0.1268788,-0.030765818,-0.11891422,-0.06520395,0.019490153,-0.03505947,-0.21723868,-0.082310714,-0.095901795,-0.10955813,-0.21126775,-0.06459017,-0.13589045,-0.06327577,0.011373913,-0.13284235,-0.016817518,-0.20671305,-0.12848863,-0.047564648,-0.07225038,-0.23603323,0.025335826,-0.028809816,-0.15703826,-0.035444975,-0.008721188,-0.16364156,0.017952222,-0.1694942,-0.10250649,-0.12364535,-0.16155413,-0.24384883,0.055612877,-0.21718007,-0.10982774,-0.10807067,-0.23304519,-0.085828066,-0.03459818,-0.19735983,-0.10743338,-0.24625456,-0.17533265,-0.19179851,-0.16320428,-0.14401339,-0.090236664,-0.03572824,-0.19506183,train,0.57615364,1
3,-0.16318277,-0.14538185,-0.009491678,-0.11298793,-0.031529423,-0.13134088,-0.07550177,0.00866567,-0.043120775,-0.22245115,-0.07681127,-0.092648715,-0.13058501,-0.19346315,-0.056656037,-0.13004604,-0.062217217,0.0123236645,-0.12526135,-0.020894744,-0.21932119,-0.13172346,-0.050593577,-0.07345138,-0.2622754,0.04071469,-0.04066556,-0.16480955,-0.037374783,-0.0041761696,-0.16094168,0.031146204,-0.18191016,-0.10620585,-0.11204071,-0.15150572,-0.25819525,0.055580888,-0.23149253,-0.11958731,-0.10108409,-0.23937339,-0.083538204,-0.0320203,-0.21101318,-0.11021987,-0.25586882,-0.16323948,-0.19425678,-0.1792995,-0.14191975,-0.07594989,-0.045708846,-0.20957932,train,0.86423045,1
4,-0.17271163,-0.15762292,-0.022357792,-0.09961194,-0.049199484,-0.13765135,-0.085074835,0.0047386847,-0.04877097,-0.23719521,-0.0730453,-0.102988064,-0.14036214,-0.18875347,-0.0565556,-0.14335158,-0.067806475,0.013764454,-0.13537519,-0.023565995,-0.22765669,-0.14100245,-0.05013918,-0.07103416,-0.28185168,0.053892396,-0.043612022,-0.1720819,-0.033479948,-0.007878907,-0.15554625,0.016888324,-0.20025486,-0.10824277,-0.12922327,-0.15269955,-0.25654203,0.043055527,-0.23887366,-0.11598905,-0.099729076,-0.2443098,-0.08483265,-0.037929133,-0.22105655,-0.11664825,-0.25794715,-0.16402438,-0.19480225,-0.18649189,-0.14381881,-0.0862157,-0.04733345,-0.22639623,train,1.1523073,1
5,-0.17934133,-0.17627427,-0.02772621,-0.094144724,-0.055271856,-0.1467801,-0.08968255,0.0058166124,-0.049906258,-0.25179136,-0.06386408,-0.10351281,-0.14492084,-0.16957858,-0.043402456,-0.12696901,-0.05071769,0.008239375,-0.14309232,-0.019109871,-0.23528722,-0.13909943,-0.05563899,-0.07058085,-0.29632023,0.059317075,-0.04927713,-0.16901127,-0.029097013,-0.017691817,-0.13312453,0.026963323,-0.1949255,-0.10011124,-0.13356252,-0.14240363,-0.25965336,0.045096297,-0.23870325,-0.12641457,-0.0873647,-0.24194199,-0.087772936,-0.031712897,-0.22920176,-0.1104641,-0.257999,-0.1482597,-0.18638578,-0.18286693,-0.149966,-0.08056385,-0.053936504,-0.2267688,train,1.4403841,1
6,-0.18759805,-0.17874482,-0.05053764,-0.08239053,-0.068952926,-0.15431747,-0.09929474,-0.0031355135,-0.050994564,-0.26277328,-0.070080966,-0.114984654,-0.14160453,-0.17159542,-0.04947885,-0.1544734,-0.059979398,-0.0019910093,-0.1802988,-0.03151018,-0.23011754,-0.15254033,-0.05034504,-0.071364194,-0.31088555,0.057391636,-0.04246979,-0.17313698,-0.020127043,-0.031258225,-0.13291496,-0.005914878,-0.20349252,-0.09924036,-0.16868427,-0.15080863,-0.26223105,0.027093723,-0.22999766,-0.12526226,-0.0881929,-0.24307151,-0.09793623,-0.041578725,-0.22440894,-0.11541062,-0.24517658,-0.1561873,-0.18474218,-0.19111302,-0.15282825,-0.11599895,-0.063165784,-0.24528515,train,1.7284609,1
7,-0.18190475,-0.18825693,-0.055126958,-0.07917677,-0.073248744,-0.15759283,-0.1000279,0.013404213,-0.066133775,-0.2532416,-0.07030305,-0.11323678,-0.14524776,-0.1505771,-0.049908847,-0.1436158,-0.070544995,-0.0009422526,-0.18375304,-0.02299833,-0.23429322,-0.15430808,-0.042116344,-0.06723031,-0.31454045,0.06416585,-0.040115118,-0.17287754,-0.019275062,-0.025189508,-0.14048195,-0.015228339,-0.20265944,-0.10253191,-0.1700033,-0.13674253,-0.24522793,0.024898212,-0.22584711,-0.12438534,-0.09180577,-0.23353916,-0.10160853,-0.021512039,-0.22702654,-0.1213682,-0.24678525,-0.14491132,-0.17853028,-0.19973251,-0.1492205,-0.11155474,-0.0643278,-0.23856618,train,2.0165377,1
8,-0.18395877,-0.18760586,-0.06441339,-0.06579535,-0.087123424,-0.1557647,-0.11007614,0.007284973,-0.06215533,-0.25079465,-0.080021344,-0.1246445,-0.1508642,-0.14977139,-0.050925523,-0.16588931,-0.08021358,0.0051448643,-0.19723703,-0.027952235,-0.24103129,-0.16018203,-0.03370691,-0.08705446,-0.3429667,0.06931054,-0.04924784,-0.18747239,-0.015126251,-0.038273457,-0.13252297,-0.02025222,-0.2005313,-0.10993466,-0.1804821,-0.16094583,-0.25285804,0.023189116,-0.2244699,-0.12873854,-0.094745174,-0.24478734,-0.103018574,-0.019412108,-0.23097974,-0.13163443,-0.24284047,-0.16009752,-0.1777128,-0.19573931,-0.1518766,-0.11978133,-0.061615124,-0.2557193,train,2.3046145,1
9,-0.19183137,-0.17536263,-0.07121157,-0.059761114,-0.10569812,-0.16561112,-0.11968757,-0.0005308129,-0.06417768,-0.25735265,-0.08352703,-0.12254999,-0.15941681,-0.17282158,-0.06347968,-0.18484153,-0.09613857,0.0029794425,-0.22040778,-0.048540086,-0.23951413,-0.1792486,-0.037859954,-0.08815042,-0.3431162,0.06802412,-0.04524568,-0.1938503,-0.023886666,-0.044644397,-0.1452977,-0.03983767,-0.21623792,-0.12318057,-0.19236663,-0.17661338,-0.26283583,0.0012124926,-0.22088052,-0.12638518,-0.1099019,-0.25822285,-0.10668889,-0.037253685,-0.23833251,-0.1332032,-0.24343637,-0.18218099,-0.18615884,-0.20367485,-0.15056708,-0.13781953,-0.074812114,-0.25821397,train,2.5926914,1
