,AIBL,AIBR,ALA,ALNL,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,PLML,PVNL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDVL,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.54526144,-0.5367506,0.9863633,0.4278312,-0.5708764,0.37080124,0.22654139,-0.904879,-0.90720624,0.98051536,0.944488,-0.7389236,-0.72836035,0.2438136,0.468418,-0.91359794,-0.5260324,0.23309831,-0.27432764,-0.77072877,-0.7245462,-0.57438785,0.94058114,0.71817046,0.1409539,0.17061192,0.4572291,-0.2388531,0.7877487,0.9418826,-0.4701943,-0.5336346,0.75169146,0.004486593,-0.09277201,-0.6448544,-0.36087045,-0.43252587,0.26267022,0.34881148,0.22649966,0.1982943,0.35706005,0.20811611,-0.8560975,0.9559511,0.54870087,0.3021062,0.2884437,-0.14945748,-0.6171753,0.47076952,-0.17452605,0.8813401,train,0.0,1
1,-0.561908,-0.55509335,0.9648062,0.6111944,-0.66596746,0.42156735,0.23038155,-0.9193442,-0.9103956,0.9023208,0.9681529,-0.77204436,-0.70166034,0.22053307,0.38203856,-0.92341864,-0.71003675,0.17253236,-0.22751555,-0.6459941,-0.72104764,-0.5335905,0.56535095,0.7306771,-0.087397896,0.1266497,0.23005533,-0.19453596,0.73719907,0.87622195,-0.48160672,-0.5634274,0.825733,-0.095064044,-0.26462948,-0.6980283,-0.3602719,-0.47726274,0.20210752,0.35678145,0.26236427,0.25937623,0.27582777,0.07298226,-0.8609821,0.64654267,0.54302865,0.24327284,0.19774976,-0.23326442,-0.70962286,0.40175763,-0.29007325,0.873917,train,0.28807682,1
2,-0.54995215,-0.5890315,0.8312769,0.72109866,-0.6219449,0.28044942,0.29605135,-0.9187034,-0.88916713,0.88895726,0.9092412,-0.7570908,-0.7208517,0.26554593,0.66932166,-0.9114474,-0.4742088,0.28057,-0.29112157,-0.6825312,-0.7195682,-0.5302086,0.65402156,0.64771897,-0.004277946,0.29059425,0.6392623,-0.23005508,0.79398006,0.87842005,-0.4604044,-0.5997971,0.8303565,-0.07159854,-0.21727543,-0.6587996,-0.35337132,-0.4403099,0.25731194,0.3156506,0.28394526,0.26659852,0.34765247,0.09898525,-0.8859483,0.7270493,0.6079029,0.37741828,0.16123247,-0.18834162,-0.72894084,0.30775315,-0.25625268,0.8423367,train,0.57615364,1
3,-0.5795815,-0.5955827,0.8296268,0.61475885,-0.65066195,0.3720051,0.27429184,-0.9241977,-0.91940874,0.8291421,1.0,-0.7943811,-0.74872625,0.5243065,0.673407,-0.93743795,-0.6619353,0.19775654,-0.36954445,-0.6859388,-0.72923166,-0.52252585,0.5589314,0.54145634,-0.08351516,0.18338117,0.45750785,-0.2349287,0.6725481,0.7694704,-0.48643392,-0.579971,0.8914921,-0.093782805,-0.2619366,-0.68960834,-0.40370384,-0.5389227,0.1388594,0.31448126,0.19503812,0.33542737,0.159955,0.09448119,-0.8449821,0.6641059,0.3364514,0.21523058,0.12736537,-0.25027317,-0.72249985,0.35918188,-0.19538644,0.80707955,train,0.86423045,1
4,-0.55989516,-0.58966935,0.9849335,0.7144594,-0.6480348,0.34724632,0.17363691,-0.9247407,-0.90531975,0.77648544,0.89633816,-0.73717636,-0.711126,0.8194757,1.0,-0.8864835,-0.6806108,0.24781896,-0.3800006,-0.6417442,-0.7160885,-0.4894481,0.47215828,0.48859075,-0.0727455,0.24488984,0.6561147,-0.32441133,0.6540934,0.76535577,-0.5001763,-0.574275,0.68253,-0.08540575,-0.25853685,-0.60933214,-0.32849377,-0.43837607,0.22364567,0.16655421,0.2948418,0.37861714,0.18768436,0.14975727,-0.86893904,0.91434246,0.5288238,0.1543408,0.31782064,-0.20820609,-0.65141284,0.43930385,-0.17872919,0.8728692,train,1.1523073,1
5,-0.6278655,-0.6246779,0.7523235,0.20086005,-0.6969446,0.445241,0.11044078,-0.92517394,-0.9175697,0.6981869,0.7435822,-0.8047556,-0.78559566,0.88407344,0.9397968,-0.9121539,-0.61995965,0.05257559,-0.33279794,-0.68094754,-0.72107136,-0.47342998,0.42280874,0.3581442,-0.021197412,0.24140441,0.31335005,-0.33266255,0.57619566,0.52214605,-0.50741756,-0.5917412,0.7152121,-0.116599455,-0.316421,-0.6442078,-0.38942865,-0.47609618,0.020543015,0.26301903,0.10546995,0.29210293,0.11439623,0.099403985,-0.87441343,0.65647286,0.22243728,-0.16193461,0.14495192,-0.27031386,-0.66303813,0.26143932,-0.29999888,0.68558025,train,1.4403841,1
6,-0.6328045,-0.6158534,0.9482767,0.28372815,-0.5978055,0.4095634,0.26436892,-0.9276887,-0.8942226,0.6233306,0.9074666,-0.77359444,-0.7434741,0.9411653,0.9348948,-0.889851,-0.6983822,0.26891965,-0.2790956,-0.6793897,-0.7432889,-0.5301647,0.8535011,0.2609856,-0.072688535,0.3462793,0.40772748,-0.4202938,0.63569635,0.65280354,-0.53354484,-0.60884434,0.73244584,-0.14980079,-0.25137544,-0.6018335,-0.36862227,-0.49366382,-0.015200273,0.19111115,0.18292835,0.41225132,0.13005435,0.08465023,-0.89377046,0.55473864,0.49115667,-0.0662889,0.20469956,-0.31551173,-0.6029471,0.33630115,-0.15780559,1.0,train,1.7284609,1
7,-0.6362814,-0.6513364,0.7156947,0.3292251,-0.6649642,0.6845322,0.21513368,-0.9302444,-0.9205178,0.73179454,0.6516498,-0.7467191,-0.7666873,0.921076,0.81404054,-0.92061716,-0.61208224,0.117080435,-0.3663142,-0.6421153,-0.7266729,-0.5036809,0.42153722,0.20213206,-0.28784004,0.23707691,0.42573544,-0.34044892,0.5554312,0.5497708,-0.5102215,-0.6231768,0.93624806,-0.10544486,-0.36270985,-0.5650084,-0.35779116,-0.5068189,-0.090942174,0.21542268,0.2567967,0.28826207,0.28551814,0.05633579,-0.86586064,0.6739303,0.17060028,0.16890459,0.12498281,-0.29141098,-0.74461335,0.22063598,-0.2091578,0.6710384,train,2.0165377,1
8,-0.64223987,-0.6699205,0.65361685,0.12532862,-0.74777305,0.4989907,0.2920447,-0.9315879,-0.9233116,0.6569777,0.7040626,-0.78361005,-0.81108403,0.53032625,0.61236155,-0.9458079,-0.6641608,-0.00767481,-0.4167062,-0.7109078,-0.7411066,-0.53542936,0.27313313,0.13451222,-0.1753766,0.18259674,0.45997962,-0.4189378,0.56359696,0.45319325,-0.5303629,-0.64161325,0.7665432,-0.11597898,-0.42468023,-0.6125953,-0.3537159,-0.563227,-0.051613625,0.1540007,0.12372946,0.30602637,0.13565505,0.10814729,-0.87839556,0.46264076,0.20229231,0.05961881,0.2306154,-0.370165,-0.8128131,0.1949748,-0.29798356,0.5745601,train,2.3046145,1
9,-0.63921714,-0.69986963,0.65064484,0.15964471,-0.7530232,0.48230517,0.3291433,-0.92885774,-0.9109511,0.6817593,0.70084345,-0.795216,-0.787878,0.39653546,0.45100912,-0.9283086,-0.6677227,0.06433325,-0.31429878,-0.72637266,-0.73318756,-0.503035,0.41820383,0.0442241,-0.31468862,0.23441511,0.48063305,-0.39676747,0.5559131,0.48281488,-0.50615776,-0.65530586,0.7901483,-0.1766183,-0.41883752,-0.57259154,-0.38327453,-0.5768574,-0.14888693,0.19668147,0.17331502,0.40820614,0.1844667,0.071389616,-0.8580018,0.72616833,0.30685523,-0.17796847,0.1124383,-0.35270935,-0.7793228,0.2092073,-0.24056332,0.64708877,train,2.5926914,1
10,-0.63829446,-0.6305891,0.88651454,0.43407542,-0.6878087,0.51082814,0.48377043,-0.92099494,-0.9127212,0.65562373,0.9143633,-0.7221198,-0.7722555,0.4638108,0.5085419,-0.8798498,-0.49707207,0.23355912,-0.30307502,-0.62054867,-0.6944869,-0.4704263,0.3027325,0.10343188,-0.38757804,0.3510547,0.5229362,-0.36966679,0.6314058,0.48781618,-0.45851776,-0.5721327,1.0,-0.14897649,-0.23395605,-0.4173632,-0.2954371,-0.517177,-0.0055304463,0.2719019,0.27172783,0.6145689,0.24787547,0.22281258,-0.84040767,0.81362844,0.25044793,-0.056184076,0.35066807,-0.27433342,-0.61414355,0.20554459,-0.124786794,0.7168914,train,2.8807683,1
11,-0.71403086,-0.73639953,0.40913305,0.20577724,-0.79576474,0.28540498,0.39461336,-0.93734664,-0.9282292,0.5291066,0.5132788,-0.82982147,-0.82848084,-0.028748594,0.15257157,-0.9618721,-0.7425768,-0.040328383,-0.40290272,-0.8097324,-0.7595765,-0.586162,0.37625888,-0.111595534,-0.28747433,0.31686223,0.55392605,-0.4886138,0.48695585,0.26648915,-0.5955939,-0.65636253,0.6232177,-0.24659672,-0.3866361,-0.65555274,-0.41189805,-0.60071766,-0.24290897,-0.08255133,0.0090030255,0.2590258,0.16386412,-0.04158921,-0.916339,0.51803327,0.2406209,-0.20491783,0.093962826,-0.41517118,-0.7652791,-0.07530717,-0.12077857,0.57684296,train,3.168845,1
12,-0.71742755,-0.69019544,0.73066634,0.1401771,-0.74973357,0.34300485,0.47759807,-0.9366177,-0.9187691,0.4716477,0.7326649,-0.81378084,-0.7988618,0.011183799,0.1037259,-0.9444035,-0.7107181,0.025575837,-0.3169525,-0.7977251,-0.7578992,-0.5775467,0.3802941,-0.0734754,-0.27430862,0.32080737,0.4065886,-0.5254701,0.54932255,0.31612104,-0.5606853,-0.60887754,0.7236981,-0.22226444,-0.33539218,-0.54403174,-0.36257944,-0.60985905,-0.25289476,-0.007414172,0.14465551,0.4187262,0.08679655,0.11788658,-0.9234744,0.2998081,0.2639202,-0.078920186,0.19288817,-0.40310568,-0.7160478,0.1372911,-0.15099177,0.6606208,train,3.4569218,1
