,AIBL,AIBR,ALA,ALNL,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,DA1,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAL,PHAR,RIBL,RIBR,RID,RIML,RIMR,RIS,RMED,RMEV,SABVL,SABVR,SIADL,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYVL,URYVR,VA1,VA12,VB1,VD13,train_test_label,time_in_seconds,tau
0,0.052164026,-0.0076385476,-0.087857604,-0.09585033,0.035977364,-0.07495987,0.029937882,-0.063868046,-0.33631974,-0.2049055,0.00807838,-0.004411416,-0.1659887,-0.02208592,-0.01526583,-0.116641656,0.06455468,-0.07960492,-0.117560685,-0.20966764,-0.06077744,-0.24374484,0.074013904,-0.1058695,-0.16143599,-0.34774226,0.030510737,-0.13306978,-0.03159233,0.01905983,-0.09823229,-0.21379519,-0.32261294,-0.08475798,-0.14616877,-0.27051818,-0.278109,-0.042098165,0.03496969,-0.2004295,-0.17029102,-0.18162152,-0.011950981,-0.098651975,-0.06673131,0.007547118,-0.12676641,-0.15254477,train,0.0,1
1,0.060737178,0.011154171,-0.1336122,-0.095317,0.050460547,-0.08163881,0.005565282,-0.05532655,-0.4015262,-0.22296189,0.016101137,-0.008690438,-0.20044242,-0.028791776,0.0006136745,-0.13787518,0.090093166,-0.12213767,-0.10510718,-0.2588892,-0.0871427,-0.29644105,0.08829949,-0.13933218,-0.18827964,-0.43643057,0.03027819,-0.17241678,-0.0029821992,0.012016235,-0.13737628,-0.25910926,-0.39188284,-0.08257706,-0.16370039,-0.3460386,-0.322433,-0.08636059,0.031845123,-0.24047318,-0.20896348,-0.2220903,-0.006385252,-0.09955486,-0.033915915,0.03767629,-0.19332147,-0.1548943,train,0.26175472,1
2,0.06958005,0.020047259,-0.14546545,-0.08829465,0.05786106,-0.07415748,0.005163137,-0.056699116,-0.42612076,-0.23541117,0.015401419,-0.010320244,-0.20998453,-0.026876356,0.003075242,-0.13110758,0.09822284,-0.1260199,-0.103890404,-0.2813825,-0.1048842,-0.32342148,0.08858693,-0.16340947,-0.1961771,-0.4683684,0.017773097,-0.19863799,0.006167777,0.018257676,-0.15420347,-0.27741855,-0.4223342,-0.07024316,-0.17617822,-0.36932084,-0.3313213,-0.10525553,0.024438344,-0.25341022,-0.22142282,-0.23422712,-0.0027400553,-0.101652,-0.02747678,0.047457054,-0.23682207,-0.15044558,train,0.52350944,1
3,0.059055924,0.021525312,-0.15382282,-0.09822373,0.058045276,-0.09243164,-0.014795136,-0.05939959,-0.44107455,-0.24758106,0.02021902,-0.014586436,-0.22112943,-0.032008443,0.0069650635,-0.14012505,0.094669,-0.14084534,-0.10506022,-0.29600286,-0.12241755,-0.34440008,0.09048101,-0.17826289,-0.20900649,-0.47708154,0.003373338,-0.21878481,0.014204547,0.01821657,-0.16353685,-0.30141163,-0.45372623,-0.06020374,-0.1875406,-0.3845718,-0.33152792,-0.12214726,0.017780058,-0.2696211,-0.24006957,-0.24980134,-0.01688677,-0.10265174,-0.027418956,0.04727684,-0.25781602,-0.15514576,train,0.7852642,1
4,0.05377259,0.020416845,-0.1519002,-0.10838549,0.053087473,-0.097711354,-0.020864088,-0.061562516,-0.4448766,-0.2506615,0.01872456,-0.021147702,-0.22618848,-0.03246315,0.004832007,-0.13714297,0.094009966,-0.1550229,-0.10578624,-0.29902178,-0.13628924,-0.36025363,0.08416034,-0.19215977,-0.20894495,-0.491081,-0.005101191,-0.22967649,0.015274055,0.023003161,-0.16872449,-0.30298784,-0.45829117,-0.0613589,-0.19782053,-0.3943169,-0.32848287,-0.12952448,0.017705282,-0.27355787,-0.24615276,-0.256131,-0.019336862,-0.104623936,-0.028096452,0.04833103,-0.26890412,-0.15936878,train,1.0470189,1
5,0.05562157,0.015583735,-0.14993276,-0.11343836,0.053492434,-0.10709507,-0.025627416,-0.066820405,-0.44742256,-0.25088796,0.026925776,-0.023400752,-0.22647512,-0.035641886,0.00822109,-0.13620102,0.0906557,-0.15831432,-0.10600242,-0.2995888,-0.14732152,-0.36013836,0.07916547,-0.18625271,-0.21725067,-0.4771607,-0.024387011,-0.23317164,0.009368688,0.028251832,-0.17680915,-0.30731577,-0.47385126,-0.056481473,-0.20250604,-0.39376107,-0.32001254,-0.13416043,0.014946537,-0.28563446,-0.24807847,-0.2605576,-0.022731714,-0.11168436,-0.0378175,0.055167936,-0.2721944,-0.15676084,train,1.3087736,1
6,0.05121593,0.017806899,-0.15817212,-0.11502073,0.042446934,-0.11290136,-0.03027239,-0.06695372,-0.44349197,-0.25676307,0.027196087,-0.023192558,-0.22658587,-0.040618435,0.009091243,-0.13304403,0.08952172,-0.1645487,-0.1065513,-0.3060532,-0.15141092,-0.37187916,0.08158399,-0.18574458,-0.22348833,-0.47436458,-0.03465133,-0.24001372,0.0046366304,0.022933425,-0.18007956,-0.31587017,-0.48174745,-0.04895466,-0.20564577,-0.3975819,-0.32263327,-0.14056756,0.0069595575,-0.29255226,-0.25435138,-0.27640635,-0.03335435,-0.11415307,-0.039201207,0.049879044,-0.2808193,-0.15844828,train,1.5705284,1
7,0.030363174,0.018345568,-0.17255752,-0.12582947,0.025097257,-0.12944694,-0.046272177,-0.056542613,-0.45423636,-0.26393038,0.02501177,-0.035769686,-0.24102625,-0.049945854,0.01837027,-0.14593227,0.085608914,-0.19336185,-0.11046364,-0.32358137,-0.15955845,-0.38377854,0.07851245,-0.1898295,-0.22842337,-0.4767728,-0.041650183,-0.24834934,0.0034361407,0.012275824,-0.19574712,-0.33145884,-0.49972504,-0.04979763,-0.2043327,-0.4103291,-0.32812792,-0.16114432,-0.010192344,-0.3085922,-0.27021688,-0.30551606,-0.053307727,-0.11763533,-0.04383491,0.03325595,-0.2856926,-0.17082328,train,1.8322831,1
8,0.01962441,0.02257787,-0.17901987,-0.12777619,0.016436284,-0.1351595,-0.059268948,-0.049259398,-0.4633896,-0.2685364,0.028988458,-0.034643453,-0.24658023,-0.060841784,0.02498997,-0.15641975,0.08051658,-0.20840077,-0.12111931,-0.3301813,-0.17042129,-0.39710328,0.07731875,-0.18971556,-0.23304456,-0.46929562,-0.046871096,-0.259431,-0.0009317398,0.008261697,-0.20591089,-0.34638852,-0.5139795,-0.052083798,-0.20238772,-0.4214554,-0.3314135,-0.17486803,-0.027942,-0.32188192,-0.2738064,-0.31927568,-0.06847839,-0.12054446,-0.048611216,0.019653954,-0.29330277,-0.17822957,train,2.0940378,1
9,0.009870533,0.024999212,-0.1812862,-0.13070042,0.008934921,-0.14016962,-0.062914655,-0.04706445,-0.46792734,-0.27859893,0.026506562,-0.041444577,-0.2537207,-0.060787167,0.031317018,-0.1610662,0.08404887,-0.22289592,-0.13148081,-0.3366375,-0.18101586,-0.41021508,0.07414588,-0.1939019,-0.23212285,-0.47577554,-0.049626846,-0.27085176,0.000833638,0.009539748,-0.21134233,-0.35620412,-0.5214037,-0.05464873,-0.19954608,-0.42626342,-0.33305207,-0.17832486,-0.040060654,-0.33144516,-0.27852234,-0.33371338,-0.080507,-0.12555148,-0.052613698,0.010363147,-0.30130497,-0.19050086,train,2.3557925,1
