,AIBL,AIBR,ALA,ALNL,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,DA1,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAL,PHAR,RIBL,RIBR,RID,RIML,RIMR,RIS,RMED,RMEV,SABVL,SABVR,SIADL,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYVL,URYVR,VA1,VA12,VB1,VD13,train_test_label,time_in_seconds,tau
0,0.22176485,0.9867283,0.31591898,0.8943684,0.923313,0.06332945,0.98129797,0.922533,-0.19700569,0.053633682,0.73646075,0.9453943,-0.5242361,-0.60751116,0.14796105,-0.038656194,0.9361596,0.6134072,-0.86614996,-0.60780853,-0.02597437,-0.039603557,-0.41013926,-0.32260743,-0.0018604734,-0.711887,-0.867374,-0.24260892,0.9997682,0.91146576,1.0,-0.7101973,-0.6365538,-0.4843066,-0.5116387,-0.032108374,-0.51223546,-0.4620472,-0.8084508,-0.5642538,-0.81716317,-0.0006025441,-0.39482424,-0.59665453,-0.4158468,-0.5968212,-0.78907406,0.7311485,train,0.0,1
1,0.21251284,0.95670146,0.29843146,0.8300181,0.84453887,0.10048809,0.96802795,0.9765588,-0.18064173,-0.01523051,0.7269537,0.9812242,-0.55286336,-0.5891443,0.10050487,-0.027191896,1.0,0.7047638,-0.8724629,-0.5914358,0.04015645,-0.037228145,-0.37936452,-0.3746884,0.25242049,-0.7498391,-0.86551577,-0.15155774,0.90777016,0.93333817,0.8921244,-0.6870728,-0.63431513,-0.3880298,-0.5310251,-0.08133269,-0.49449202,-0.4614887,-0.81739837,-0.55047345,-0.83074147,0.019942008,-0.35714358,-0.44789314,-0.3563235,-0.62613314,-0.78681207,0.87507486,train,0.26175472,1
2,0.20770879,0.9746679,0.23587266,0.76893353,0.773086,-0.04249303,0.9154521,0.9018836,-0.1783519,-0.009711096,0.73809826,0.96638215,-0.45072386,-0.6400048,0.1710422,0.109837204,0.8564257,0.54716617,-0.8784384,-0.5987901,-0.059796747,-0.052188706,-0.5513766,-0.23420227,0.057968233,-0.7064735,-0.8517452,-0.30507052,0.90891546,0.80028355,0.93787855,-0.6960894,-0.61984175,-0.36720902,-0.54156566,-0.22008389,-0.47947899,-0.42221108,-0.8367141,-0.51100755,-0.8233309,-0.063462965,-0.32236534,-0.44828779,-0.32432374,-0.63875246,-0.76767415,0.71635747,train,0.52350944,1
3,0.22763932,0.94438183,0.21987577,0.85015047,0.7406215,-0.21714951,0.96904737,0.8423718,-0.18241894,0.070102796,0.7963401,0.97669744,-0.34763265,-0.6682862,0.1771489,0.17042279,0.86798584,0.41071567,-0.88860565,-0.6111908,-0.05545075,-0.035054393,-0.4806897,-0.2837683,0.1797124,-0.6949807,-0.8718026,-0.21432163,0.92463547,0.69410604,0.9037411,-0.6507132,-0.61867696,-0.4106066,-0.57544816,-0.0857468,-0.4716223,-0.52585596,-0.8009862,-0.47133362,-0.8454492,-0.12969291,-0.2508164,-0.46348563,-0.35518914,-0.6091743,-0.75221205,0.69651824,train,0.7852642,1
4,0.17181857,0.97678506,0.230187,0.65560573,0.5902939,-0.19451626,0.87368673,0.88699543,-0.17899454,-0.045147456,0.7581671,0.9890789,-0.24420471,-0.698369,0.14127359,0.2628382,0.8296521,0.52205896,-0.88416386,-0.6531836,-0.08412719,-0.10767906,-0.4022559,-0.30744976,0.10406908,-0.73891187,-0.82835156,-0.30467945,0.8565939,0.78962183,0.85379124,-0.7189648,-0.6478037,-0.35763213,-0.5950359,-0.2700312,-0.50506365,-0.47594273,-0.84621334,-0.5139656,-0.8530112,-0.07147463,-0.27085683,-0.4485749,-0.37699273,-0.619717,-0.74485624,1.0,train,1.0470189,1
5,0.19226488,0.97360885,0.1037247,0.54892725,0.5932612,-0.15904927,0.89524674,0.8543195,-0.24278656,-0.024935715,0.8463211,0.95255464,-0.37058917,-0.64348996,0.08536567,0.25957546,0.9273011,0.48810324,-0.8689979,-0.63013446,-0.09179302,-0.1523263,-0.45092753,-0.48454967,0.08641357,-0.7233652,-0.8629954,-0.30494362,0.8540143,0.74467,0.8476396,-0.71911246,-0.6637248,-0.3760419,-0.5646143,-0.24119832,-0.5453828,-0.45242095,-0.8140319,-0.5727771,-0.85462123,-0.07094241,-0.22039066,-0.40494263,-0.40639126,-0.59676796,-0.7930838,0.8041835,train,1.3087736,1
6,0.16673866,0.9348739,0.090476625,0.4550496,0.5952317,-0.25608158,0.89303744,0.80653,-0.25990298,-0.05000155,0.717999,0.9022416,-0.4603882,-0.5574297,0.11720177,0.28434902,0.82202214,0.3485153,-0.9226004,-0.65561545,-0.114341296,-0.32913157,-0.5425124,-0.43839008,-0.09425199,-0.7317901,-0.8844588,-0.34330904,0.842115,0.6855722,0.78721154,-0.73505586,-0.683914,-0.43405926,-0.624241,-0.2808988,-0.5661912,-0.5638889,-0.8224185,-0.58284205,-0.8715253,-0.1979496,-0.23845418,-0.51022726,-0.43141907,-0.67493314,-0.7601588,0.683537,train,1.5705284,1
7,0.17175224,0.94760877,0.0036027797,0.41289517,0.67974865,-0.3004466,0.8496408,0.78387797,-0.27077857,-0.043465387,0.75824374,0.9276824,-0.46066308,-0.5342147,0.066580564,0.27400377,0.822396,0.3526205,-0.92281187,-0.6307634,-0.16639382,-0.34175575,-0.6778984,-0.5047456,-0.022753833,-0.75249594,-0.88822407,-0.3568144,0.81334573,0.6426978,0.74753207,-0.7591227,-0.6937947,-0.39025086,-0.60438365,-0.4353278,-0.5879708,-0.6729836,-0.8645696,-0.5804883,-0.8148316,-0.12215264,-0.22068311,-0.41025198,-0.4301227,-0.6783675,-0.7926032,0.6759052,train,1.8322831,1
8,0.1733706,0.91592795,-0.051251497,0.4939624,0.727809,-0.251138,0.8500662,0.8089255,-0.24407454,-0.08955353,0.84323263,0.9261114,-0.5447978,-0.5009123,0.12651753,0.26683483,0.7865155,0.25105637,-0.9279839,-0.6687019,-0.17344454,-0.33774087,-0.5905536,-0.5428505,0.026769951,-0.7581417,-0.88330716,-0.39365515,0.83134663,0.6783604,0.8512704,-0.7446032,-0.69486487,-0.39031786,-0.58936447,-0.40710586,-0.54570174,-0.60863316,-0.84042215,-0.5974988,-0.8074892,-0.16878074,-0.20741285,-0.43346137,-0.42076585,-0.66755855,-0.79886556,0.5477107,train,2.0940378,1
9,0.13960367,0.92908454,-0.028203595,0.43650535,0.6551011,-0.3369548,0.8735792,0.8131426,-0.22320274,-0.021443145,0.86956316,0.9351907,-0.4723691,-0.45436323,0.11243106,0.2965196,0.8236504,0.38088015,-0.9200911,-0.6087736,-0.16840677,-0.34284157,-0.5360114,-0.52497095,0.063197054,-0.75541747,-0.8704208,-0.29811373,0.78314924,0.6652804,0.81715256,-0.76260984,-0.66574603,-0.34403425,-0.5355958,-0.33614746,-0.54178554,-0.5666749,-0.8597198,-0.5926806,-0.7549962,-0.15179989,-0.21448784,-0.3451326,-0.43154976,-0.7047509,-0.78796077,0.7698527,train,2.3557925,1
