,AIBL,AIBR,ALA,ALNL,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVB,DVC,PHAL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.14229025,-0.019604884,-0.14393754,-0.18793091,-0.049231354,-0.024772387,0.0023412928,-0.2902977,-0.047423862,-0.068113424,-0.2575261,-0.106879674,-0.19819708,-0.010867212,-0.17587161,-0.22485113,-0.12675396,-0.22191733,-0.22972098,-0.0781294,-0.23729593,-0.042398393,-0.11998896,-0.15136263,-0.060624305,-0.10461706,-0.2868532,-0.24148634,-0.33885258,-0.29569164,-0.1661884,-0.25606364,-0.16711071,-0.35667485,-0.19045725,-0.31976807,-0.085541315,-0.1806864,-0.14429232,-0.14007892,-0.12109919,-0.03773257,-0.14519648,-0.08408734,-0.072962165,-0.17408156,train,0.0,1
1,-0.21318859,-0.011204358,-0.1856889,-0.23363884,-0.050058007,-0.06958386,0.031005345,-0.37447777,-0.040606998,-0.09734721,-0.3457255,-0.14645305,-0.28208527,-0.030177858,-0.2791379,-0.29608154,-0.21328102,-0.25850156,-0.29603967,-0.081352435,-0.28577268,-0.057401508,-0.17591546,-0.18931033,-0.09005605,-0.10574281,-0.36805877,-0.29986316,-0.4198187,-0.40785062,-0.17129092,-0.30261284,-0.2575192,-0.48696855,-0.23476917,-0.4256205,-0.077509284,-0.23858875,-0.18381132,-0.16642171,-0.13134234,0.006099157,-0.17053747,-0.13643715,-0.093845814,-0.19969413,train,0.19816513,1
2,-0.2567351,-0.008031443,-0.20434654,-0.2591841,-0.053307235,-0.09726848,0.04472883,-0.42953545,-0.041981515,-0.11438652,-0.38864,-0.15608251,-0.32743397,-0.0436385,-0.34213832,-0.35098225,-0.26891696,-0.27229646,-0.3430969,-0.08846953,-0.3236755,-0.06726285,-0.22132862,-0.20632803,-0.09670465,-0.11273725,-0.4112848,-0.33408803,-0.47404528,-0.46573728,-0.18226855,-0.3233981,-0.30249512,-0.5564791,-0.2716262,-0.4902197,-0.078809574,-0.2621703,-0.21259,-0.18422788,-0.14716285,0.028147243,-0.174585,-0.18157433,-0.10831523,-0.22559372,train,0.39633027,1
3,-0.26860753,-0.0052293055,-0.20643325,-0.2648582,-0.04672178,-0.10664578,0.044194683,-0.46636882,-0.036342867,-0.11501288,-0.40006554,-0.14867449,-0.3547124,-0.047731947,-0.36687705,-0.3777212,-0.294004,-0.27474046,-0.36569625,-0.09358367,-0.35154814,-0.06497189,-0.24156448,-0.208472,-0.09468241,-0.11922202,-0.42954165,-0.35510433,-0.49494874,-0.49817333,-0.18356855,-0.3408925,-0.30957735,-0.598753,-0.27888092,-0.5211088,-0.072046354,-0.26836157,-0.21215029,-0.18735375,-0.15369971,0.038666196,-0.16207379,-0.2156882,-0.10642317,-0.23585483,train,0.5944954,1
4,-0.28896338,-0.005346544,-0.21174729,-0.27826396,-0.052487418,-0.11134301,0.050179616,-0.4849959,-0.038456164,-0.11850471,-0.4116222,-0.14932096,-0.3639647,-0.057280224,-0.3894238,-0.39741552,-0.31224778,-0.27785385,-0.38275075,-0.10161072,-0.359893,-0.070182726,-0.25884956,-0.21188182,-0.09193921,-0.11811145,-0.44512677,-0.35825628,-0.50769556,-0.5109623,-0.1902549,-0.33694893,-0.31976405,-0.6194954,-0.28927281,-0.5417849,-0.072691485,-0.28038612,-0.2185484,-0.19674015,-0.16259323,0.044822045,-0.16350149,-0.2269582,-0.10969858,-0.2490859,train,0.79266053,1
5,-0.29695064,-0.0034647956,-0.21016872,-0.27870858,-0.04638896,-0.11234975,0.047300503,-0.4965479,-0.039269604,-0.11589306,-0.41819358,-0.14193389,-0.37272444,-0.0706545,-0.39225358,-0.4102583,-0.32692483,-0.2820737,-0.38864136,-0.10866252,-0.36493307,-0.07376098,-0.2748629,-0.21049249,-0.088148266,-0.12008819,-0.4566165,-0.3641252,-0.5189255,-0.51540744,-0.19430506,-0.33517277,-0.32118154,-0.631379,-0.29816258,-0.5470698,-0.07111973,-0.28275064,-0.22345728,-0.20255119,-0.17112473,0.054921888,-0.15877292,-0.23678291,-0.11200383,-0.25372943,train,0.9908257,1
6,-0.3031616,0.00075977296,-0.21297498,-0.2809658,-0.053344734,-0.112834305,0.048790738,-0.50374293,-0.046047933,-0.121663295,-0.41943026,-0.14040008,-0.37534305,-0.07239099,-0.40311468,-0.4189772,-0.3268652,-0.27883297,-0.40175685,-0.11265442,-0.37103277,-0.07559539,-0.28196853,-0.21241094,-0.09328142,-0.12084838,-0.46873963,-0.36663347,-0.51799035,-0.518402,-0.19819105,-0.33746237,-0.3207938,-0.63569987,-0.30053124,-0.5556588,-0.07124649,-0.28230497,-0.22752276,-0.20629443,-0.17534387,0.051024087,-0.16484757,-0.24265216,-0.11026195,-0.2603458,train,1.1889908,1
7,-0.3036498,-0.0042855255,-0.2146979,-0.27313,-0.06840875,-0.11120431,0.05242598,-0.5022466,-0.05478441,-0.12313062,-0.4116035,-0.14321133,-0.36656845,-0.064911306,-0.4080651,-0.41522765,-0.33036473,-0.27791774,-0.41375014,-0.120818734,-0.3759235,-0.077430196,-0.29017863,-0.2127773,-0.09672603,-0.122766,-0.47784266,-0.36931688,-0.51630044,-0.51254666,-0.20402837,-0.33037466,-0.32823354,-0.6333159,-0.31025434,-0.5676366,-0.08106245,-0.27438116,-0.23919861,-0.21738853,-0.17594847,0.04202614,-0.17688191,-0.2511626,-0.107946515,-0.27486044,train,1.387156,1
8,-0.30915785,0.0014016405,-0.21448584,-0.2771336,-0.07407989,-0.10991244,0.055403143,-0.49565744,-0.054179765,-0.12082224,-0.41106153,-0.14687365,-0.36071876,-0.07072486,-0.41143975,-0.4210974,-0.3363987,-0.27455646,-0.41502738,-0.12453772,-0.3636533,-0.08305897,-0.30171677,-0.21141791,-0.09799528,-0.12817952,-0.48027697,-0.3615561,-0.5192825,-0.5148004,-0.21209069,-0.323516,-0.33279976,-0.6357027,-0.3096907,-0.56617093,-0.091243275,-0.27777448,-0.25779906,-0.22745003,-0.18060845,0.046305098,-0.18213108,-0.25098252,-0.11356427,-0.27130315,train,1.5853211,1
9,-0.31275988,0.0056371056,-0.21245092,-0.27678627,-0.08461834,-0.114324495,0.06005211,-0.49501055,-0.06304674,-0.12994573,-0.41396314,-0.14574346,-0.35521716,-0.07162595,-0.41316408,-0.42211664,-0.33867,-0.26925686,-0.42150468,-0.13080609,-0.36489868,-0.085845485,-0.30745482,-0.21139681,-0.10179086,-0.12902044,-0.48350322,-0.36659554,-0.523903,-0.5076551,-0.22238663,-0.31547242,-0.33911487,-0.63043725,-0.32177252,-0.5758673,-0.09790148,-0.2770488,-0.2766181,-0.23571455,-0.18655786,0.043192036,-0.19184361,-0.26186034,-0.112826645,-0.27925384,train,1.7834862,1
