,AIBL,AIBR,ALA,ALNL,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVB,DVC,PHAL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.49457976,-0.5456819,0.821293,-0.8944564,0.37869278,0.6760642,0.6376588,-0.81461245,-0.079227045,-0.12106906,-0.52149373,-0.7131236,-0.2031292,-0.6542201,-0.58944833,-0.6736895,-0.6763508,-0.692216,-0.8277204,0.6188728,-0.40510815,-0.7431679,-0.20389834,-0.022757975,0.5555268,-0.6761793,-0.6096262,-0.88004214,-0.93411356,-0.6986565,-0.9107945,-0.5255108,-0.72141206,-0.6382208,-0.33147714,-0.23396175,-0.20149004,0.7343164,-0.44391036,-0.28966862,-0.56218666,0.04587106,-0.3214736,-0.82187366,-0.26955926,-0.85349214,train,0.0,1
1,-0.49268672,-0.48241085,0.8889839,-0.8238264,0.3218958,0.6240405,0.5827328,-0.82954633,-0.1206341,-0.12439801,-0.546244,-0.57418466,-0.23068406,-0.589271,-0.6105746,-0.6453544,-0.7148695,-0.6628401,-0.83877957,0.6446913,-0.4367037,-0.752824,-0.1824957,-0.060839605,0.60765797,-0.646221,-0.71967834,-0.8956047,-0.92065465,-0.6754027,-0.92291194,-0.5673976,-0.7225653,-0.6967683,-0.3150457,-0.36321592,-0.22389486,0.6634925,-0.52611566,-0.19268516,-0.61445385,0.0063079223,-0.28293553,-0.81669235,-0.23607789,-0.88409126,train,0.19816513,1
2,-0.4870823,-0.4723461,0.95823765,-0.80678076,0.41465923,0.6037936,0.6876964,-0.82377267,-0.13123845,-0.11362653,-0.465914,-0.3674862,-0.1370696,-0.5238383,-0.3206485,-0.63036424,-0.6462776,-0.69871736,-0.8299024,0.7063889,-0.4827509,-0.77571285,-0.15899102,-0.06456043,0.6023061,-0.66018015,-0.5159931,-0.9087699,-0.9428358,-0.69138783,-0.9625124,-0.5655066,-0.72091264,-0.6095096,-0.3489281,-0.18825941,-0.2338202,0.5746234,-0.44612175,-0.11733661,-0.6244694,0.018956222,-0.27986783,-0.81711245,-0.22617014,-0.8938295,train,0.39633027,1
3,-0.47110227,-0.468337,0.9457772,-0.8941018,0.41517338,0.54197806,0.55085504,-0.85727495,-0.14562494,-0.15162235,-0.41033435,-0.2524649,-0.24423073,-0.57975197,-0.40438348,-0.6857548,-0.68615663,-0.68766844,-0.88379526,0.74104565,-0.47109556,-0.7451485,-0.021402637,-0.102789745,0.49867645,-0.6472313,-0.63099265,-0.8635912,-0.9207586,-0.6959355,-0.9230176,-0.57549965,-0.65893996,-0.6252565,-0.3391505,-0.4260362,-0.22949465,0.6576724,-0.41092652,-0.10072158,-0.60150146,0.0024929417,-0.33200246,-0.7983476,-0.2535019,-0.8840028,train,0.5944954,1
4,-0.46608442,-0.49507162,1.0,-0.78631663,0.3785984,0.57281905,0.55821276,-0.85069114,-0.16163865,-0.13235098,-0.24750325,-0.27753007,-0.23673895,-0.42554393,-0.48969123,-0.61747634,-0.6360968,-0.6884634,-0.8702002,0.9507506,-0.50669396,-0.7563717,-0.0494936,-0.05539214,0.4960568,-0.6299636,-0.6645281,-0.8937172,-0.93076324,-0.66700125,-0.8988463,-0.53343636,-0.67389643,-0.5756482,-0.35498554,-0.36396062,-0.19819112,0.5751432,-0.49388126,-0.13620679,-0.52747667,0.08108672,-0.26478612,-0.78903514,-0.16262385,-0.89567,train,0.79266053,1
5,-0.46056783,-0.48692197,0.92848724,-0.8673591,0.427302,0.530762,0.49062988,-0.8612228,-0.18999442,-0.09623413,-0.13504125,-0.31136125,-0.27398163,-0.4454981,-0.39347324,-0.62579405,-0.6424826,-0.67947495,-0.870621,0.6686876,-0.50491565,-0.728332,-0.0836996,-0.09740738,0.44819188,-0.6601056,-0.607995,-0.8584937,-0.94900227,-0.64669263,-0.9635288,-0.5451585,-0.70471257,-0.5999197,-0.35441393,-0.46161777,-0.2165468,0.5860587,-0.4390915,-0.07445629,-0.61526436,-0.10730186,-0.3511182,-0.8176026,-0.28698325,-0.9239797,train,0.9908257,1
6,-0.49182683,-0.51355314,0.90224475,-0.8328833,0.38074446,0.42205688,0.5022458,-0.87481683,-0.31313488,-0.10185538,-0.14633088,-0.49353582,-0.20643404,-0.43779314,-0.53407127,-0.64380056,-0.67097074,-0.6734789,-0.85536104,0.40021035,-0.4957036,-0.7517432,-0.10338238,-0.16680163,0.36354586,-0.65854603,-0.65092945,-0.8615605,-0.95427763,-0.6671188,-0.7843379,-0.5371365,-0.64846045,-0.5575928,-0.3534777,-0.46687868,-0.17815515,0.44395787,-0.39840642,-0.094987944,-0.5893229,0.06417513,-0.3198345,-0.796247,-0.019132217,-0.89102787,train,1.1889908,1
7,-0.48663545,-0.4843384,0.81031746,-0.94027776,0.3530324,0.41271204,0.39981064,-0.8462151,-0.2705046,-0.14313796,-0.14459401,-0.39408576,-0.28136677,-0.4463936,-0.8037863,-0.62488,-0.6421632,-0.6789617,-0.8103121,0.4239711,-0.5586977,-0.78098726,-0.015287598,-0.1253953,0.2698784,-0.64879555,-0.72567266,-0.8750677,-0.9519381,-0.68428653,-0.8326411,-0.574985,-0.6660505,-0.4378341,-0.35810152,-0.39826623,-0.17355718,0.49899933,-0.38514903,-0.08851907,-0.58441204,-0.05971048,-0.31792533,-0.80969054,-0.20430475,-0.6282375,train,1.387156,1
8,-0.5133703,-0.55108136,0.7284502,-0.843167,0.29115704,0.3316564,0.35056204,-0.8555689,-0.31104153,-0.21556702,-0.2640035,-0.5066623,-0.33569393,-0.49971318,-0.7490164,-0.6374937,-0.5997544,-0.6723958,-0.86855376,0.35236663,-0.58161193,-0.7425007,-0.18287788,-0.15322609,0.19076793,-0.6331207,-0.68978363,-0.86106753,-0.93411773,-0.65797365,-0.87249017,-0.52898294,-0.62759376,-0.39071214,-0.40182793,-0.3717118,-0.13894595,0.47949255,-0.3702414,-0.10796492,-0.5773675,-0.12813874,-0.26772487,-0.8157821,-0.021182097,-0.7871417,train,1.5853211,1
9,-0.5077706,-0.5284916,0.5942954,-0.8824857,0.27316865,0.27336058,0.2571625,-0.83368516,-0.3501457,-0.2304706,-0.36995223,-0.54448575,-0.38843635,-0.48539084,-0.8492193,-0.6373109,-0.64490443,-0.6585676,-0.8884028,0.47820634,-0.5513983,-0.7550298,-0.12210969,-0.17341326,0.048949447,-0.6409611,-0.6457849,-0.87680256,-0.94279915,-0.6268642,-0.9220809,-0.4955523,-0.58712107,-0.38248363,-0.43106177,-0.4229536,-0.099056005,0.4124825,-0.26859397,-0.019935697,-0.63022614,-0.14689727,-0.32554975,-0.79526675,-0.28698325,-0.93032026,train,1.7834862,1
