,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.15223244,-0.06278353,-0.06148856,-0.12524165,0.031731606,-0.071887195,-0.08201995,-0.006636426,-0.07599509,-0.21095869,-0.194575,-0.10852333,-0.2217719,-0.07360205,-0.14673142,-0.14778368,-0.12966216,-0.18079016,-0.20241156,-0.09220715,-0.18607992,-0.21512616,0.00071207806,-0.150139,-0.159413,-0.08491303,-0.20294754,-0.029182486,-0.22899884,-0.20959708,-0.088124946,-0.23730229,-0.11158365,-0.15849604,-0.21141657,-0.24326663,-0.056744106,-0.098113984,-0.2734704,-0.11512595,-0.18934694,-0.111491546,-0.11851042,-0.18531132,-0.13426806,-0.15865093,-0.114744455,-0.08579387,-0.26386476,train,0.0,1
1,-0.23419252,-0.07964578,-0.08475214,-0.11740859,0.052655324,-0.080127336,-0.10148124,-0.03865609,-0.078434095,-0.25971454,-0.19623433,-0.1563637,-0.28763402,-0.094223976,-0.21287766,-0.19798051,-0.19838455,-0.22850364,-0.22283196,-0.10169519,-0.2231332,-0.24281068,-0.024849512,-0.18046285,-0.17779166,-0.10535351,-0.24061897,-0.046752784,-0.26657078,-0.241451,-0.09150341,-0.26360127,-0.14129286,-0.17009988,-0.2525906,-0.28133452,-0.09256321,-0.15391618,-0.33971906,-0.11605008,-0.24346814,-0.14732517,-0.13794732,-0.2194446,-0.16322704,-0.18802196,-0.14844008,-0.11287839,-0.32966924,train,0.32598853,1
2,-0.28553846,-0.0932445,-0.10091025,-0.10877359,0.06811796,-0.08613905,-0.11425871,-0.06292483,-0.0822935,-0.29699758,-0.2028115,-0.1807144,-0.3095922,-0.09827574,-0.2458492,-0.22787847,-0.23763348,-0.26498985,-0.23793241,-0.11271293,-0.24613804,-0.25640732,-0.036904894,-0.18832862,-0.19175127,-0.13243571,-0.25232452,-0.054132733,-0.29668236,-0.2527156,-0.084061,-0.29163465,-0.1567939,-0.1774449,-0.2659683,-0.29859895,-0.11250268,-0.18852681,-0.37353593,-0.11484021,-0.26366216,-0.16853572,-0.14651196,-0.2444823,-0.17737749,-0.20700884,-0.16188377,-0.12720011,-0.3697493,train,0.65197706,1
3,-0.31947172,-0.1008426,-0.117486194,-0.10363103,0.078798875,-0.087772265,-0.11862209,-0.07716438,-0.07814716,-0.31666082,-0.20967829,-0.1793906,-0.32875785,-0.12080738,-0.2736091,-0.24260317,-0.25939193,-0.29108864,-0.2429819,-0.11407085,-0.258577,-0.26479465,-0.044758834,-0.195383,-0.19848587,-0.14748989,-0.26417127,-0.064883545,-0.31426513,-0.26960546,-0.07853378,-0.3079395,-0.16773075,-0.1806962,-0.2734812,-0.30698904,-0.13542634,-0.20756207,-0.3954078,-0.11691429,-0.2691865,-0.17810227,-0.1544761,-0.25807834,-0.18286847,-0.22135678,-0.17860535,-0.13707419,-0.39965856,train,0.9779656,1
4,-0.3269171,-0.10055524,-0.11247898,-0.08735781,0.07442659,-0.09272674,-0.1227154,-0.08717848,-0.08586813,-0.32854572,-0.21266352,-0.19155912,-0.33353594,-0.118119776,-0.2922581,-0.26145357,-0.27436414,-0.2922802,-0.24519016,-0.120341845,-0.27376825,-0.2724552,-0.047095165,-0.2021696,-0.20490183,-0.15882283,-0.2666674,-0.07597169,-0.33405262,-0.28219664,-0.08469938,-0.31335586,-0.17053539,-0.1824772,-0.2789769,-0.3101759,-0.1348749,-0.2104958,-0.4054312,-0.12832764,-0.26305282,-0.18878907,-0.15642336,-0.25996032,-0.20896986,-0.2339263,-0.19186166,-0.13378704,-0.4269427,train,1.3039541,1
5,-0.33109754,-0.1066487,-0.11119114,-0.08292987,0.077216886,-0.09179008,-0.121118456,-0.089147285,-0.09636645,-0.33227703,-0.21190265,-0.19297272,-0.33710086,-0.1190015,-0.29571757,-0.26612598,-0.27404347,-0.30121034,-0.23341893,-0.11606364,-0.27858362,-0.27541777,-0.056024387,-0.20276657,-0.20205167,-0.16008875,-0.26599425,-0.073923245,-0.3298223,-0.28225726,-0.08164642,-0.3105098,-0.17055075,-0.18224335,-0.27873412,-0.30913132,-0.13189724,-0.20926818,-0.40522534,-0.13138075,-0.2682423,-0.1915755,-0.15824157,-0.26377833,-0.21921971,-0.23206598,-0.19575408,-0.12920587,-0.43362325,train,1.6299427,1
6,-0.32763144,-0.10051027,-0.104913674,-0.06318035,0.07497746,-0.09338281,-0.12408513,-0.088401794,-0.09478247,-0.3336529,-0.20165151,-0.18950185,-0.33161446,-0.11563829,-0.29768676,-0.271415,-0.2730704,-0.28752565,-0.22648548,-0.11147336,-0.29045457,-0.2791928,-0.05611358,-0.2068856,-0.20922521,-0.16135202,-0.25979757,-0.08097115,-0.33236352,-0.28867215,-0.08547039,-0.2993711,-0.1683435,-0.18705945,-0.2725069,-0.30956572,-0.13059139,-0.2013551,-0.39491466,-0.13876411,-0.264429,-0.19157521,-0.15358342,-0.25811285,-0.24482505,-0.24065709,-0.19992629,-0.11982796,-0.44649887,train,1.9559312,1
7,-0.3240295,-0.107726246,-0.10304771,-0.049716897,0.0741194,-0.08894108,-0.122163,-0.079989314,-0.10183315,-0.32638085,-0.19516967,-0.1855127,-0.3294446,-0.116869345,-0.29346597,-0.27016622,-0.26757553,-0.2792065,-0.21673366,-0.115353495,-0.2961463,-0.2711243,-0.058847263,-0.20295316,-0.20960408,-0.16722386,-0.26214263,-0.0826194,-0.33499065,-0.29362077,-0.08359206,-0.29447836,-0.16639741,-0.19023298,-0.26521263,-0.3076873,-0.12880301,-0.19394232,-0.38831758,-0.13867795,-0.26117462,-0.19177851,-0.14371383,-0.25896978,-0.2513312,-0.24872953,-0.19428882,-0.11546824,-0.44966608,train,2.2819197,1
8,-0.32377198,-0.11337261,-0.09899174,-0.03877238,0.06905761,-0.09010954,-0.122349456,-0.08053562,-0.105369866,-0.32421762,-0.19249907,-0.18683131,-0.33767435,-0.1151649,-0.2966728,-0.27326456,-0.26192632,-0.27296823,-0.22120117,-0.1171031,-0.3001414,-0.26812127,-0.06632761,-0.20392686,-0.20385057,-0.16659775,-0.26430616,-0.08531563,-0.3403275,-0.29512984,-0.07993476,-0.29167646,-0.16021836,-0.19364595,-0.25739336,-0.3054883,-0.12914678,-0.19145136,-0.37852257,-0.14152151,-0.2546745,-0.19616893,-0.13819797,-0.25801158,-0.2584037,-0.25682133,-0.19205739,-0.114196114,-0.45712155,train,2.6079082,1
9,-0.3240212,-0.11558114,-0.08874716,-0.03547436,0.06923279,-0.08010568,-0.11912614,-0.078764364,-0.10948799,-0.3204745,-0.18871956,-0.19491878,-0.34184134,-0.112518355,-0.29454756,-0.2706853,-0.25987056,-0.2626906,-0.21946841,-0.11045903,-0.29794765,-0.26825202,-0.07304627,-0.20272908,-0.19074285,-0.1699807,-0.25948325,-0.09152119,-0.33969516,-0.29237354,-0.08041607,-0.2883761,-0.15908833,-0.19061418,-0.24070507,-0.30041695,-0.12661414,-0.18728434,-0.37058106,-0.1402071,-0.24991727,-0.19441432,-0.1390424,-0.25946057,-0.2735306,-0.26861572,-0.18409626,-0.10647731,-0.46442693,train,2.9338968,1
10,-0.319099,-0.119864926,-0.08579946,-0.029495075,0.0675318,-0.08620951,-0.1219224,-0.0767186,-0.11035271,-0.32145548,-0.18052436,-0.1977407,-0.3390838,-0.10935902,-0.28892434,-0.27175784,-0.26201645,-0.25342226,-0.22034752,-0.10950754,-0.30067486,-0.27203822,-0.07912741,-0.20019317,-0.19510242,-0.16922462,-0.25516453,-0.09264015,-0.340311,-0.283022,-0.075703226,-0.27811193,-0.15741222,-0.198832,-0.2372688,-0.29560882,-0.12606384,-0.17956035,-0.36331278,-0.14596002,-0.24210843,-0.19048394,-0.13498193,-0.25602162,-0.28687888,-0.27194595,-0.18567659,-0.100655235,-0.46927327,train,3.2598853,1
11,-0.311078,-0.13057883,-0.07706335,-0.016374066,0.069034755,-0.07986471,-0.117334746,-0.07070814,-0.11858904,-0.32177812,-0.16559342,-0.18982741,-0.32844844,-0.09622467,-0.2779326,-0.2613908,-0.25479993,-0.24565578,-0.20923817,-0.10943712,-0.30629867,-0.26369184,-0.09063036,-0.20067453,-0.19255653,-0.16991162,-0.24150431,-0.07551511,-0.33029902,-0.28053558,-0.06131716,-0.27706277,-0.14770916,-0.20549993,-0.21831375,-0.28917503,-0.10998024,-0.16333489,-0.34060958,-0.13875651,-0.23925593,-0.18098357,-0.1273845,-0.2597382,-0.29001492,-0.26658165,-0.17104651,-0.09850786,-0.46113485,train,3.5858738,1
12,-0.3063189,-0.13854252,-0.0675369,-0.004339233,0.0730919,-0.080049604,-0.12197805,-0.059721712,-0.12174833,-0.31304756,-0.15607326,-0.18973622,-0.32528216,-0.09409771,-0.26789734,-0.26127934,-0.25490543,-0.23459934,-0.2108989,-0.103862286,-0.3002871,-0.2627606,-0.09682841,-0.20341018,-0.18876973,-0.1704792,-0.23099095,-0.06904493,-0.32218334,-0.28091884,-0.05310955,-0.2706894,-0.13600767,-0.2102892,-0.2067017,-0.28525355,-0.10066319,-0.15832373,-0.33324838,-0.1426826,-0.23150396,-0.17772913,-0.12259129,-0.255949,-0.30013508,-0.26382273,-0.17232625,-0.09734772,-0.4591487,train,3.9118624,1
13,-0.30471167,-0.15861614,-0.065054245,-0.005538702,0.08215713,-0.0739317,-0.12034162,-0.06374174,-0.13782734,-0.2989034,-0.15229234,-0.19428232,-0.32858574,-0.0926085,-0.2722383,-0.2549686,-0.25273716,-0.23450068,-0.20892632,-0.10854288,-0.29275954,-0.25087202,-0.109909914,-0.19806989,-0.17543405,-0.16910514,-0.23209527,-0.07258482,-0.3181491,-0.27357456,-0.038296677,-0.2729926,-0.13233744,-0.2078396,-0.19518724,-0.2876227,-0.09294912,-0.15972646,-0.33974075,-0.1471494,-0.22078055,-0.17779082,-0.12182142,-0.26566678,-0.29725984,-0.25826442,-0.1642703,-0.10192104,-0.46661866,train,4.2378507,1
14,-0.3098318,-0.155148,-0.05651315,-0.0041090623,0.07450283,-0.07804314,-0.12665302,-0.07545966,-0.13147451,-0.29559824,-0.15500733,-0.20581028,-0.33771968,-0.08917457,-0.2707542,-0.25643653,-0.2576672,-0.22401953,-0.22174771,-0.12348578,-0.28770876,-0.25773045,-0.11336189,-0.19497809,-0.16516379,-0.16916442,-0.23828167,-0.0890131,-0.32169527,-0.27152964,-0.042690545,-0.27487016,-0.12694891,-0.20803228,-0.1994772,-0.2897722,-0.10572587,-0.16863383,-0.3451552,-0.15474507,-0.21151218,-0.19542538,-0.12216223,-0.26920438,-0.30771074,-0.27613738,-0.17267355,-0.10182552,-0.47101146,train,4.5638394,1
15,-0.30464575,-0.16030169,-0.042257607,-0.0064982027,0.07270419,-0.06946367,-0.12647592,-0.07121524,-0.13709915,-0.28955498,-0.15434904,-0.20977642,-0.34449962,-0.0868843,-0.26793587,-0.25171572,-0.25882956,-0.21513306,-0.21976858,-0.11653144,-0.2821011,-0.25001222,-0.12473992,-0.19355088,-0.1536227,-0.16567153,-0.24651071,-0.09648763,-0.31572703,-0.2720284,-0.03851817,-0.26915786,-0.12113021,-0.20504613,-0.19196698,-0.29313862,-0.10659338,-0.16556334,-0.3380381,-0.15759146,-0.20587295,-0.20581827,-0.12359546,-0.27284396,-0.31828532,-0.27867323,-0.16980302,-0.1027839,-0.4710924,train,4.8898277,1
