,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.21946093,-0.32037473,0.5652879,-0.14592293,-0.336459,-0.9109318,0.13188423,-0.35602206,-0.702856,0.46055418,-0.7579914,0.77311504,-0.63005185,-0.33317703,-0.35377523,-0.9151913,-0.82611865,0.35442057,-0.9422976,-0.81114733,-0.933689,-1.0,0.65790087,-0.5421479,-0.6285352,1.0,-0.8119096,-0.56549937,-0.016787088,0.040104315,-0.10295935,-0.12586848,-0.35965082,-0.3388798,0.29587665,-0.09401081,-0.081338674,0.31293902,-0.7136919,-0.5538713,0.60646623,-0.75158405,-0.84989375,-0.7788046,-0.72970545,-0.791859,-0.82737494,-0.9465267,-0.23158762,train,0.0,1
1,-0.25441292,-0.3032453,0.57923627,-0.24029033,-0.3499056,-0.92346954,0.112512134,-0.41991344,-0.7520828,0.3990932,-0.7546455,0.7477847,-0.44781858,-0.06523621,-0.3705324,-0.91561544,-0.84687614,0.35832524,-0.9148422,-0.80311483,-0.9656251,-0.9905536,0.502267,-0.5729138,-0.57391155,0.92883176,-0.8389013,-0.57507586,-0.12758659,-0.009507023,0.017841728,-0.044423014,-0.42316228,-0.43325403,0.3159001,-0.04792039,0.01332343,0.2693239,-0.6911518,-0.5313266,0.69631195,-0.88516814,-0.76620066,-0.7740901,-0.75922877,-0.8415412,-0.84017295,-0.9385338,-0.20586252,train,0.32598853,1
2,-0.32975134,-0.3447407,0.5635544,-0.49656388,-0.4378303,-0.9430783,0.25391975,-0.42647207,-0.7716249,0.47291896,-0.79177976,0.7756855,-0.4455193,-0.085547216,-0.38328415,-0.9145835,-0.80725074,0.4838891,-0.9369816,-0.8080625,-1.0,-0.9974307,0.47550526,-0.32495683,-0.645431,0.82164526,-0.89398146,-0.6154611,-0.1681187,-0.024755653,-0.29832366,-0.036353257,-0.4137587,-0.4164471,0.39726648,-0.029239254,0.023446957,0.22790478,-0.7390328,-0.60016584,0.52433753,-0.7342788,-0.8583333,-0.80481386,-0.7523931,-0.81790423,-0.8468609,-0.94585687,-0.27168915,train,0.65197706,1
3,-0.3816567,-0.36490864,0.5361438,-0.13327566,-0.3391325,-0.9919734,0.33929205,-0.4636789,-0.78189266,0.42536786,-0.7532828,0.747161,-0.58210844,-0.1545789,-0.3781203,-0.93060225,-0.83035773,0.41629022,-0.9475079,-0.79521096,-0.9685772,-0.99123824,0.45356357,-0.5931716,-0.5765911,0.8840028,-0.8405068,-0.61049545,-0.2870161,0.07370154,-0.0029217647,0.09315646,-0.5070288,-0.41773927,0.40833881,-0.046790395,0.06646763,0.30358824,-0.72738487,-0.74311996,0.57111263,-0.70866567,-1.0,-0.80502975,-0.76344925,-0.8244365,-0.8078714,-0.94784206,-0.3397463,train,0.9779656,1
4,-0.31323463,-0.42912945,0.6265277,-0.17117706,-0.37373206,-0.88319004,0.31882954,-0.4441794,-0.8075487,0.48136842,-0.714575,0.74272436,-0.61093485,-0.2533035,-0.31759498,-0.8962842,-0.8329725,0.43135467,-0.9213381,-0.7803466,-0.9818325,-0.9918459,0.50202703,-0.3788399,-0.5782378,0.8871156,-0.878303,-0.63194805,-0.14992909,0.0679123,-0.10222922,0.14929046,-0.4472929,-0.4381757,0.4349774,0.0073678163,0.12585692,0.2929137,-0.7023107,-0.7399353,0.61813456,-0.74948645,-0.8122017,-0.8065474,-0.7181611,-0.85310507,-0.8035821,-0.92724246,-0.2242927,train,1.3039541,1
5,-0.34600186,-0.4422657,0.6285496,0.008943365,-0.24422196,-0.90096146,0.42351964,-0.4191382,-0.827215,0.55105454,-0.6585818,0.8035034,-0.6213669,-0.40846208,-0.36451173,-0.8913602,-0.7934995,0.440774,-0.9247855,-0.7756117,-0.94160587,-0.9843611,0.5191483,-0.50095695,-0.677562,0.9062561,-0.88598967,-0.673675,-0.21953233,0.22302935,-0.043885134,0.31320488,-0.4343471,-0.43961552,0.5653978,0.02867415,0.2114418,0.32188666,-0.70882374,-0.5208083,0.58282596,-0.6876377,-0.718524,-0.8496643,-0.7565888,-0.7841402,-0.79740185,-0.9273484,-0.30194286,train,1.6299427,1
6,-0.4027323,-0.4568179,0.6713796,-0.20344658,-0.32377422,-0.94629323,0.5337914,-0.41546878,-0.8423272,0.5118121,-0.65099925,0.80969185,-0.6310221,-0.41547272,-0.37918863,-0.8995657,-0.7933761,0.44934967,-0.9278345,-0.7702599,-0.9257668,-0.9912536,0.52889234,-0.51831853,-0.6073761,0.8766657,-0.9041037,-0.6805022,-0.21432757,0.08210587,0.050679322,0.43118075,-0.46052405,-0.44523507,0.60761064,0.07522442,0.23801538,0.28064552,-0.72782946,-0.6715048,0.5735198,-0.63429147,-0.8089207,-0.77811176,-0.7459214,-0.80394065,-0.8092545,-0.91634154,-0.22010273,train,1.9559312,1
7,-0.4768399,-0.44957396,0.66987926,-0.047744785,-0.35499644,-0.8944122,0.5615147,-0.47426432,-0.8592807,0.56872845,-0.64911443,0.7775242,-0.6246271,-0.4445401,-0.37865123,-0.89499956,-0.79642737,0.52404296,-0.94385654,-0.73729324,-0.9698724,-0.98639965,0.5031854,-0.31754917,-0.5443531,0.89136666,-0.924711,-0.66032207,-0.26634538,0.05469515,0.08092936,0.4608223,-0.5033505,-0.5119755,0.6752068,0.06915389,0.26674443,0.21768132,-0.72102743,-0.666607,0.54342765,-0.71415323,-0.7850328,-0.83176345,-0.717166,-0.8186109,-0.8101124,-0.9221912,-0.22670223,train,2.2819197,1
8,-0.47348812,-0.41486892,0.5140256,-0.11842048,-0.15198988,-0.9576165,0.47830105,-0.52580744,-0.8730936,0.6996866,-0.66296804,0.77039486,-0.50614077,-0.43379882,-0.38697335,-0.8704288,-0.8088494,0.52269095,-0.93853813,-0.73420006,-0.95237505,-0.98474574,0.5023025,-0.3915592,-0.5508394,0.83160955,-0.9077285,-0.66119677,-0.27642962,0.08635741,-0.16233096,0.5599819,-0.5200897,-0.5358165,0.67568743,0.16289212,0.38844296,0.0974419,-0.71527016,-0.7225926,0.76107365,-0.7339332,-0.6769774,-0.8325549,-0.72023886,-0.79133546,-0.76401484,-0.9424205,-0.3446417,train,2.6079082,1
9,-0.49409813,-0.42185542,0.59577924,0.042581175,-0.20995563,-0.91570175,0.37995568,-0.5269088,-0.87407726,0.65151054,-0.60120803,0.78625786,-0.44180757,-0.5561743,-0.3974172,-0.88564456,-0.79513866,0.47137737,-0.92187846,-0.7051426,-0.9133435,-0.98216873,0.48359144,-0.4202359,-0.50935316,0.8913382,-0.9057892,-0.6718634,-0.25235456,0.07410103,-0.2816061,0.5691145,-0.6032754,-0.53504884,0.78084314,0.19097643,0.45121127,0.2263051,-0.7567715,-0.66416895,0.46432373,-0.64261806,-0.7225811,-0.88701797,-0.685124,-0.8114749,-0.77304876,-0.9155401,-0.2798091,train,2.9338968,1
