,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.072220474,0.0042888685,0.60855085,1.0,0.5725482,0.7188171,-0.84896904,-0.8156688,-0.66347706,-0.7076094,-0.22664337,-0.32752344,1.0,0.32200608,-0.86614794,-0.6807147,-0.74924433,-0.7414518,0.8571394,-0.009393025,-0.749263,-0.14621256,0.25349724,-0.6404439,0.30620524,-0.874042,-0.65477353,-0.6171972,0.049959444,0.31265026,-0.9092176,1.0,0.8163761,-0.28480095,-0.7238008,0.91122943,0.2522167,-0.69939154,-0.37605694,-0.14028272,-0.26166162,0.041130915,0.19345963,-0.68915695,-0.5261144,-0.18041082,-0.597889,train,0.0,1
1,-0.07340251,-0.19224256,0.61535054,0.7522549,0.5694985,0.48733485,-0.8269476,-0.86698353,-0.57006013,-0.7611259,-0.22268042,-0.37652794,0.69095623,0.46881318,-0.9186138,-0.70525193,-0.81188107,-0.7937978,1.0,-0.006770228,-0.7713839,0.23546682,0.570152,-0.6847753,0.41478345,-0.8807355,-0.5263534,-0.78018373,0.12302818,-0.09077498,-0.94277006,0.9410868,0.67316127,-0.2131815,-0.76070255,1.0,0.21077435,-0.5786081,-0.41057977,-0.0034851637,-0.31664532,0.077816814,-0.070461094,-0.72588587,-0.4666331,-0.13987432,-0.6418547,train,0.32618544,1
2,-0.19593711,-0.18177758,0.42271167,0.74724424,0.27870485,0.48856798,-0.86583954,-0.857085,-0.67195874,-0.7635096,-0.38382694,-0.4447495,0.38455084,0.0961417,-0.95671296,-0.78149784,-0.8216326,-0.82351285,0.9133527,-0.018498182,-0.7873078,0.23429242,0.45718622,-0.61377156,0.1918918,-0.86772966,-0.8392149,-0.6954825,0.1108474,0.056504652,-0.9375909,0.78907037,0.77640307,-0.36684602,-0.79656434,0.6227259,0.24425758,-0.7316515,-0.4177809,-0.27854735,-0.31849295,-0.05639047,-0.06216856,-0.79679656,-0.58906424,-0.20526403,-0.6770437,train,0.65237087,1
3,-0.2373447,-0.21145925,0.33176428,0.85110503,0.25395763,0.7568727,-0.8734303,-0.88412297,-0.6297029,-0.74615836,-0.38008615,-0.35216463,0.4292188,0.024407791,-0.908609,-0.78364426,-0.78542155,-0.7684834,0.85244024,0.057626903,-0.75005305,0.016441574,0.5383988,-0.69599605,0.39033154,-0.8702189,-0.82894653,-0.79903805,0.1991702,0.18845415,-0.92985713,0.8225706,0.9101404,-0.36053723,-0.74874514,0.7636082,0.29873902,-0.7167494,-0.36752793,-0.13145386,-0.44637293,-0.19470014,0.15912725,-0.7318974,-0.5488069,-0.12621565,-0.63113666,train,0.97855633,1
4,-0.21029171,-0.31121054,0.32248607,0.4029908,0.29562286,0.18450493,-0.86760116,-0.8941281,-0.59063697,-0.70589894,-0.43992522,-0.28165692,0.060600568,-0.25964698,-0.9284949,-0.7686143,-0.86270016,-0.82646793,0.8048046,-0.022677599,-0.75718737,0.3106283,0.5934069,-0.65957445,0.38534647,-0.87559015,-0.72106326,-0.7671343,0.16138457,-0.1256438,-0.962325,0.8242794,0.850543,-0.38051996,-0.8068035,0.7666121,0.22176702,-0.7068139,-0.5080697,-0.3359892,-0.98141754,-0.12380573,-0.35609245,-0.7792463,-0.5336498,-0.237649,-0.7029167,train,1.3047417,1
5,-0.30723223,-0.34596744,0.34258422,0.6852162,0.21533264,0.35179517,-0.89169276,-0.91020167,-0.54968894,-0.68387145,-0.44130388,-0.4723794,0.24960206,-0.31613976,-0.9507884,-0.8348692,-0.86450326,-0.850225,0.7792775,-0.14609832,-0.78480464,0.27128595,0.8063051,-0.665798,0.24325268,-0.8849285,-0.82296747,-0.79339385,0.16901304,-0.12311593,-0.950809,0.7074275,0.8034641,-0.4214933,-0.8088797,0.7036543,0.20577401,-0.71321136,-0.46677148,-0.32636043,-0.60773337,-0.11817225,-0.24580802,-0.74994504,-0.59353024,-0.23550294,-0.754222,train,1.6309272,1
6,-0.29635465,-0.34899724,0.35515097,0.6147784,0.23284604,0.45750025,-0.9048603,-0.9187011,-0.4696931,-0.7159273,-0.4033672,-0.42732307,0.029708473,-0.43475834,-0.97909844,-0.7165739,-0.8366767,-0.8283738,0.8608424,-0.02544966,-0.79730165,0.34233704,0.96294665,-0.594549,0.28101504,-0.8636158,-0.7066355,-0.7629333,0.22334984,0.11349099,-0.95659876,0.7732685,0.8394913,-0.3231463,-0.7489932,0.66615677,0.21234523,-0.7306376,-0.38795495,-0.32370505,-0.58734244,-0.1367915,-0.1200466,-0.7686389,-0.53891623,-0.2224493,-0.71747625,train,1.9571127,1
7,-0.36466601,-0.34868273,0.2924977,0.7953915,0.15656067,0.59770393,-0.9128059,-0.91435105,-0.5528982,-0.67822886,-0.4740478,-0.46218798,0.0176892,-0.44920945,-0.9627811,-0.7853758,-0.8496937,-0.82946825,0.8536806,-0.018732741,-0.80040294,0.6406342,0.90749794,-0.5931694,0.40018338,-0.8888562,-0.774225,-0.7984702,0.2936071,0.19031091,-0.9711843,0.73133075,0.86383325,-0.35685432,-0.7799078,0.6441435,0.16918857,-0.7347221,-0.42195502,-0.3748732,-0.7432044,-0.37012902,-0.15005481,-0.7910107,-0.54592955,-0.18234614,-0.7521325,train,2.283298,1
8,-0.33708152,-0.41306934,0.2815999,0.59396255,0.21833389,0.3010578,-0.9082827,-0.923585,-0.5211191,-0.71838474,-0.510538,-0.46838796,-0.008572224,-0.45348108,-0.962591,-0.75553685,-0.8763977,-0.87008595,0.8037054,-0.038968794,-0.7839426,0.27891955,0.9388887,-0.5978601,0.43660864,-0.86554307,-0.8598817,-0.8588956,0.32517022,0.06931333,-0.95393485,0.7139074,0.8508858,-0.33437824,-0.76097584,0.71370023,0.058511287,-0.66502136,-0.47935507,-0.3845452,-0.7944974,-0.13646057,-0.20560451,-0.79892164,-0.579105,-0.18350355,-0.7536234,train,2.6094835,1
9,-0.3065076,-0.39497712,0.42661184,0.8956597,0.2610821,0.5017634,-0.9274979,-0.91750365,-0.44683322,-0.65900284,-0.48997617,-0.42429575,0.300262,-0.4593762,-0.93984324,-0.72229964,-0.82065094,-0.8207785,0.91223335,-0.015683474,-0.7317629,0.46271285,1.0,-0.5822859,0.6016214,-0.86752397,-0.8479236,-0.86551166,0.39789245,0.2628779,-0.94487,0.891756,1.0,-0.31395853,-0.74417514,0.45866337,0.072286196,-0.6748223,-0.43988714,-0.36627585,-0.5904961,-0.058121998,-0.023555031,-0.7118195,-0.5334816,-0.13896085,-0.72784,train,2.935669,1
10,-0.35076573,-0.41842505,0.3388494,0.484078,0.2002044,0.21124454,-0.9179213,-0.9339642,-0.4195865,-0.71137834,-0.4884198,-0.48457995,0.58800083,-0.286759,-0.9433379,-0.7876651,-0.8401251,-0.87361157,0.7401932,-0.1423667,-0.7749621,0.23429242,0.9515169,-0.5711264,0.45608878,-0.88662744,-0.7991811,-0.7919572,0.36559385,-0.063012615,-0.9720752,0.7798158,0.79829055,-0.32140318,-0.8172523,0.4320317,-0.029845662,-0.6987796,-0.54023075,-0.38657716,-0.6874247,-0.22348627,-0.39469963,-0.80751723,-0.5451651,-0.19096772,-0.758216,train,3.2618544,1
11,-0.32941797,-0.4526981,0.32924688,0.7131701,0.3267846,0.0864108,-0.92321384,-0.93312746,-0.42350474,-0.66683257,-0.4756162,-0.5266754,0.56007797,0.015579114,-0.97627497,-0.7771331,-0.8607252,-0.82300264,0.8005268,-0.059460726,-0.7893524,-0.14151497,0.93567324,-0.6609234,0.33287942,-0.8892865,-0.66140246,-0.90266883,0.35543758,0.054785755,-0.92296076,0.8438511,0.8633587,-0.35950935,-0.76977634,0.3281222,-0.13888043,-0.7075403,-0.53455555,-0.25320047,-0.7472421,-0.079010405,-0.32542378,-0.7721099,-0.5897181,-0.21250536,-0.79905146,train,3.5880399,1
