,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.118211925,-0.040420875,-0.07474572,0.05857616,-0.04497665,-0.07247547,0.008894522,-0.0756575,-0.23565993,-0.1922085,-0.09356246,-0.0396928,-0.085536964,-0.021143658,-0.13934147,-0.038526688,-0.083695,-0.18871596,-0.04623453,-0.23833883,0.020707857,-0.18762913,-0.15270363,-0.042981703,-0.11989412,-0.007925741,-0.13548207,-0.16786322,-0.18421833,0.079913326,-0.24419725,-0.14049451,-0.21703365,-0.14482947,-0.03151846,-0.10729813,-0.21155137,-0.1259726,-0.2196164,-0.1090041,-0.13433668,-0.12483767,-0.16347925,-0.07400426,-0.096635684,0.012659673,-0.13971545,train,0.0,1
1,-0.16809186,-0.047448497,-0.092290364,0.07407077,-0.052310362,-0.043171093,-0.007524986,-0.060894832,-0.27743497,-0.19481689,-0.12619062,-0.046073925,-0.09495467,-0.012537416,-0.18878375,-0.072410986,-0.1165946,-0.24494657,-0.05910223,-0.2863607,-0.0020812862,-0.20953363,-0.18217963,-0.031370882,-0.1617353,-0.014147744,-0.14503577,-0.18914498,-0.20475271,0.114634015,-0.27543584,-0.16767097,-0.2457493,-0.14196481,-0.064806536,-0.17434621,-0.23517942,-0.13092896,-0.25935698,-0.099946685,-0.15287605,-0.17769511,-0.20896646,-0.060227923,-0.12610482,0.014796499,-0.1414134,train,0.32618544,1
2,-0.20628229,-0.048127897,-0.10463254,0.08370727,-0.07582645,-0.0501334,-0.025511492,-0.061439697,-0.31082714,-0.21324578,-0.14087549,-0.08010924,-0.12490351,-0.025531463,-0.23220089,-0.09824039,-0.15114918,-0.29439974,-0.09755429,-0.33861834,-0.018785942,-0.21913403,-0.20213494,-0.035327356,-0.18179147,-0.032103963,-0.16839679,-0.219109,-0.22064239,0.12834322,-0.30845755,-0.18899038,-0.273012,-0.14257032,-0.09728812,-0.22748846,-0.26788634,-0.15296704,-0.3110144,-0.087549604,-0.16130431,-0.21856827,-0.23181735,-0.03832423,-0.1622766,0.0066275783,-0.15515468,train,0.65237087,1
3,-0.22459815,-0.043908637,-0.1207166,0.095993444,-0.07470239,-0.045414723,-0.031728994,-0.06700292,-0.32158226,-0.21926245,-0.15354595,-0.086611316,-0.12051374,-0.026614098,-0.25790146,-0.11178,-0.15457672,-0.32608372,-0.11242016,-0.37185687,-0.011572026,-0.23810077,-0.19828585,-0.04039482,-0.18801498,-0.04037722,-0.18783337,-0.22329822,-0.22997037,0.13775945,-0.32895857,-0.19559124,-0.2892387,-0.13591014,-0.10839645,-0.25214365,-0.28618762,-0.15848957,-0.3300878,-0.09024424,-0.16087015,-0.23950367,-0.24099793,-0.016730174,-0.18622792,0.011241239,-0.15961428,train,0.97855633,1
4,-0.23845345,-0.05313184,-0.13377865,0.07501997,-0.08363917,-0.04987304,-0.044457395,-0.050692324,-0.34238577,-0.22661437,-0.16304556,-0.08717929,-0.13942271,-0.032272853,-0.2753424,-0.10104211,-0.16870494,-0.34452596,-0.14364514,-0.40257892,-0.023765862,-0.2433089,-0.24635828,-0.02893237,-0.21251366,-0.04678109,-0.20822668,-0.23649666,-0.23898067,0.13235058,-0.33633038,-0.2160438,-0.29557166,-0.14408483,-0.14510308,-0.26696262,-0.2857533,-0.16869283,-0.3524562,-0.09211082,-0.14433526,-0.26013586,-0.25712737,-0.022108905,-0.21078715,-0.0068839807,-0.17582318,train,1.3047417,1
5,-0.24130376,-0.05215484,-0.12864725,0.078682035,-0.08639883,-0.057111505,-0.04928716,-0.05498367,-0.34467614,-0.23641017,-0.16969028,-0.09986359,-0.15202613,-0.0356906,-0.28290528,-0.10272254,-0.17830728,-0.3603853,-0.15942529,-0.42074734,-0.035131246,-0.23721312,-0.24373364,-0.038519517,-0.21814537,-0.055303182,-0.22391276,-0.24636357,-0.2481977,0.13007651,-0.34591395,-0.21862334,-0.29883772,-0.13977526,-0.1485901,-0.27347896,-0.30037686,-0.17521602,-0.37281448,-0.10770465,-0.15063983,-0.28193796,-0.28075862,-0.024035476,-0.22626652,-0.009446811,-0.1871905,train,1.6309272,1
6,-0.24060073,-0.041137647,-0.12225244,0.074802354,-0.08549449,-0.05969039,-0.048579697,-0.064171866,-0.34044698,-0.24528648,-0.166724,-0.093601726,-0.15021387,-0.037019726,-0.28255245,-0.1088676,-0.16620424,-0.3738323,-0.16954471,-0.43178132,-0.036465712,-0.23179466,-0.24001619,-0.043082364,-0.22195047,-0.05786733,-0.22891138,-0.23750234,-0.24826676,0.13204744,-0.34537423,-0.2181296,-0.30339405,-0.13151515,-0.14713782,-0.27894884,-0.29318377,-0.17600802,-0.36751214,-0.11155898,-0.15215048,-0.29459703,-0.280314,-0.026096672,-0.23967518,-0.018929457,-0.18632418,train,1.9571127,1
7,-0.23705363,-0.034635745,-0.121336535,0.07275508,-0.09243824,-0.05719643,-0.04990897,-0.06989016,-0.3393965,-0.25149676,-0.17664486,-0.09587786,-0.15265697,-0.040471427,-0.2873136,-0.112942174,-0.15571055,-0.38563043,-0.18895632,-0.44482738,-0.034711972,-0.22818983,-0.23907563,-0.04818459,-0.2139445,-0.06183107,-0.234317,-0.23823252,-0.23676954,0.14117305,-0.3449027,-0.22176948,-0.30196047,-0.1282068,-0.14563264,-0.28363016,-0.29994255,-0.1713478,-0.37255883,-0.11327787,-0.1461098,-0.30085117,-0.28405738,-0.024263844,-0.2484659,-0.025556106,-0.19353034,train,2.283298,1
8,-0.2371983,-0.047726326,-0.12753728,0.07190522,-0.09090527,-0.06563831,-0.05438241,-0.070512906,-0.33714145,-0.25086695,-0.18407619,-0.0939936,-0.15357652,-0.04236888,-0.29275078,-0.10653502,-0.1578595,-0.38883728,-0.19184366,-0.4485221,-0.036915034,-0.23481366,-0.24393073,-0.0491722,-0.21616867,-0.05628978,-0.2373521,-0.23270413,-0.2458848,0.13644528,-0.34885198,-0.21981987,-0.30099547,-0.12505604,-0.14615704,-0.28026256,-0.29643202,-0.1742583,-0.38122195,-0.11714861,-0.14614394,-0.3048139,-0.29125276,-0.020323128,-0.2454479,-0.03064262,-0.19813278,train,2.6094835,1
9,-0.22045343,-0.05539914,-0.117882766,0.08302122,-0.090854034,-0.058235973,-0.043028053,-0.08414546,-0.32372874,-0.23631524,-0.17758945,-0.08489043,-0.13918,-0.047152787,-0.28980812,-0.104276255,-0.14372808,-0.38468963,-0.19011737,-0.44183138,-0.041669786,-0.23261589,-0.22768266,-0.0506578,-0.20325652,-0.048161607,-0.23981461,-0.22275445,-0.23559958,0.14644764,-0.3346577,-0.20420353,-0.29123837,-0.1225113,-0.12739608,-0.2721402,-0.29432687,-0.15754116,-0.36736906,-0.118408486,-0.15112719,-0.28950712,-0.2904234,-0.026191972,-0.23041199,-0.02286054,-0.19313264,train,2.935669,1
